Web Search interest
United States; Past 30 days

Interest over time
Day,Hobbies & Leisure
2014-08-18,+0%
2014-08-19,-1%
2014-08-20,-1%
2014-08-21,+2%
2014-08-22,+0%
2014-08-23,+13%
2014-08-24,+14%
2014-08-25,-6%
2014-08-26,-5%
2014-08-27,-1%
2014-08-28,-2%
2014-08-29,+1%
2014-08-30,+9%
2014-08-31,+11%
2014-09-01,+11%
2014-09-02,-6%
2014-09-03,-7%
2014-09-04,-6%
2014-09-05,-3%
2014-09-06,+5%
2014-09-07,+6%
2014-09-08,-5%
2014-09-09,-7%
2014-09-10,-8%
2014-09-11,-8%
2014-09-12,-3%
2014-09-13,+9%
2014-09-14,+7%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
dog,100
lottery,90
cat,50
dogs,45
puppies,30
fish,30
cats,20
horse,20
kayak,20
happy birthday,20
puppy,15
flowers,15
halloween,15
mega millions,15
petsmart,15
anaconda,15
bikes,10
shark,10
labor day 2014,10
nikon,10



Rising searches
anaconda lyrics,+1,800%
grouper,+650%
anaconda,+450%
ice bucket challenge,+350%
oktoberfest,+250%
halloween,+200%
rosh hashanah,+180%
fall,+130%
rosh hashanah 2014,+130%
thanksgiving,+80%



