YouTube Search interest
United States; Past 30 days

Interest over time
Day,Hobbies & Leisure
2014-08-20,+0%
2014-08-21,+5%
2014-08-22,+7%
2014-08-23,+9%
2014-08-24,+7%
2014-08-25,+0%
2014-08-26,-1%
2014-08-27,-2%
2014-08-28,+0%
2014-08-29,+0%
2014-08-30,+1%
2014-08-31,+7%
2014-09-01,+4%
2014-09-02,-3%
2014-09-03,-1%
2014-09-04,-5%
2014-09-05,-2%
2014-09-06,+4%
2014-09-07,+7%
2014-09-08,-3%
2014-09-09,-4%
2014-09-10,-1%
2014-09-11,-1%
2014-09-12,+1%
2014-09-13,+5%
2014-09-14,+3%
2014-09-15,-2%
2014-09-16,-2%
2014-09-17,-3%
2014-09-18, 
2014-09-19, 



Top searches
anaconda,100
dog,85
cat,70
minecraft,50
fishing,45
ice bucket,40
birthday,40
dogs,35
wedding,35
ice bucket challenge,30
pony,30
cats,30
faze,30
pitbull,30
fish,25
shark,25
scary,25
puppies,25
happy birthday,20
trolling,20



Rising searches
dog spider,Breakout
grouper eats shark,Breakout
anaconda,+1,250%
grouper,+900%
ice bucket,+400%
ice bucket challenge,+350%
fireball pitbull,+300%
shadow of mordor,+80%
halloween,+70%
spooky scary skeletons,+60%



