News Search interest
United States; Past 30 days

Interest over time
Day,Home & Garden
2014-08-19,+0%
2014-08-20,+2%
2014-08-21,-5%
2014-08-22,+1%
2014-08-23,+13%
2014-08-24,+9%
2014-08-25,-5%
2014-08-26,-1%
2014-08-27,-7%
2014-08-28,-7%
2014-08-29,-2%
2014-08-30,+9%
2014-08-31,+6%
2014-09-01,+2%
2014-09-02,+7%
2014-09-03,+11%
2014-09-04,+22%
2014-09-05,+1%
2014-09-06,+7%
2014-09-07,-4%
2014-09-08,+5%
2014-09-09,+7%
2014-09-10,+4%
2014-09-11,-5%
2014-09-12,+0%
2014-09-13,+9%
2014-09-14,-1%
2014-09-15,-1%
2014-09-16,-6%
2014-09-17, 
2014-09-18, 



Top searches
home depot,100
lowes,25
bed,20
ge,15
mattress,15
pool,10
bed bath beyond,10
ikea,10
light,10
amc,10
dyson,5



Rising searches
home depot,+150%
dyson,+110%
mattress,+90%



