YouTube Search interest
United States; Past 30 days

Interest over time
Day,Home & Garden
2014-08-20,+0%
2014-08-21,-1%
2014-08-22,-2%
2014-08-23,+0%
2014-08-24,+8%
2014-08-25,+0%
2014-08-26,-1%
2014-08-27,-3%
2014-08-28,-6%
2014-08-29,-2%
2014-08-30,+6%
2014-08-31,+4%
2014-09-01,+8%
2014-09-02,-4%
2014-09-03,-5%
2014-09-04,-5%
2014-09-05,-5%
2014-09-06,-1%
2014-09-07,+3%
2014-09-08,-2%
2014-09-09,-11%
2014-09-10,-9%
2014-09-11,-9%
2014-09-12,-8%
2014-09-13,-8%
2014-09-14,+2%
2014-09-15,-2%
2014-09-16,-9%
2014-09-17,-4%
2014-09-18, 
2014-09-19, 



Top searches
chandelier,100
sia,90
sia chandelier,90
shower,55
becky g,35
becky g shower,35
vines,30
paint,25
trap,20
chandelier lyrics,15
sia chandelier lyrics,15
diy,15
lights,15
erb,10
pool,10
shower lyrics,10
chilled,10
how to paint,10
chilled chaos,10
saw,5



Rising searches
daylight,+350%
football pump up,+80%
anthem lights,+50%
fine china,+50%
mirrors,+50%
fireplace,+40%



