YouTube Search interest
United States; Past 30 days

Interest over time
Day,Internet & Telecom
2014-08-20,+0%
2014-08-21,+0%
2014-08-22,+0%
2014-08-23,+2%
2014-08-24,-4%
2014-08-25,-2%
2014-08-26,-4%
2014-08-27,-4%
2014-08-28,-4%
2014-08-29,+2%
2014-08-30,+2%
2014-08-31,+2%
2014-09-01,+0%
2014-09-02,+6%
2014-09-03,+13%
2014-09-04,+4%
2014-09-05,-2%
2014-09-06,-4%
2014-09-07,+6%
2014-09-08,+2%
2014-09-09,+113%
2014-09-10,+111%
2014-09-11,+53%
2014-09-12,+45%
2014-09-13,+30%
2014-09-14,+30%
2014-09-15,+26%
2014-09-16,+17%
2014-09-17,+32%
2014-09-18, 
2014-09-19, 



Top searches
iphone,100
iphone 6,75
samsung,15
android,15
apple,15
iphone 6 plus,10
the voice,10
apple iphone 6,10
unboxing,10
google,10
iphone 5,5
htc one,5
pt,5
sky,5
iphone 6 trailer,5
orange,5
unboxing iphone 6,5
nexus,5
diamond minecart,5
purge,5



Rising searches
galaxy note 4,Breakout
iphone 6 plus,Breakout
iphone 6 video,Breakout
apple iphone 6,+1,200%
iphone 6,+650%
iphone 6 review,+650%
unboxing iphone 6,+650%
note 4,+600%
samsung note 4,+600%
apple,+400%



