Image Search interest
United States; Past 30 days

Interest over time
Day,Jobs & Education
2014-08-19,+0%
2014-08-20,+2%
2014-08-21,+5%
2014-08-22,-5%
2014-08-23,-27%
2014-08-24,-24%
2014-08-25,+3%
2014-08-26,+5%
2014-08-27,+2%
2014-08-28,+8%
2014-08-29,+0%
2014-08-30,-19%
2014-08-31,-30%
2014-09-01,-26%
2014-09-02,-2%
2014-09-03,-4%
2014-09-04,-1%
2014-09-05,-5%
2014-09-06,-25%
2014-09-07,-24%
2014-09-08,-1%
2014-09-09,-1%
2014-09-10,-1%
2014-09-11,-6%
2014-09-12,-8%
2014-09-13,-24%
2014-09-14,-30%
2014-09-15,-4%
2014-09-16,-4%
2014-09-17, 
2014-09-18, 



Top searches
school,100
university,45
high school,45
college,30
football,20
teacher,15
middle school,15
resume,10
classroom,10
math,10
alphabet,10
preschool,10
class,10
students,5
high school football,5
kindergarten,5
job,5
cursive,5
schools,5
jobs,5



Rising searches
als,+300%
notre dame,+140%
high school football,+90%
football,+80%
social studies,+70%
michigan,+50%
books,+40%
career,+40%
engineer,+40%
reading,+40%



