Web Search interest
United States; Past 30 days

Interest over time
Day,Law & Government
2014-08-18,+0%
2014-08-19,+3%
2014-08-20,+3%
2014-08-21,+3%
2014-08-22,-1%
2014-08-23,-26%
2014-08-24,-26%
2014-08-25,+1%
2014-08-26,+2%
2014-08-27,+2%
2014-08-28,+0%
2014-08-29,-6%
2014-08-30,-26%
2014-08-31,-28%
2014-09-01,-26%
2014-09-02,+0%
2014-09-03,+2%
2014-09-04,+0%
2014-09-05,-4%
2014-09-06,-27%
2014-09-07,-27%
2014-09-08,+6%
2014-09-09,+4%
2014-09-10,+3%
2014-09-11,+6%
2014-09-12,+1%
2014-09-13,-22%
2014-09-14,-29%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
mapquest,100
police,100
army,45
obama,35
unemployment,35
navy,30
child support,25
act,20
inmate search,20
maps,20
beeg,20
sheriff,20
passport,20
air force,15
driving directions,15
constitution,15
justice,15
immigration,15
united states,15
uscis,10



Rising searches
jack the ripper,+650%
obama speech,+450%
bill of rights,+190%
nato,+180%
constitution,+170%
declaration of independence,+150%
amendments,+140%
indicted,+140%
michael brown,+70%
ferguson,+50%



