YouTube Search interest
United States; Past 30 days

Interest over time
Day,Law & Government
2014-08-20,+0%
2014-08-21,+7%
2014-08-22,+0%
2014-08-23,-7%
2014-08-24,-8%
2014-08-25,-7%
2014-08-26,-2%
2014-08-27,+4%
2014-08-28,-3%
2014-08-29,-4%
2014-08-30,-10%
2014-08-31,-6%
2014-09-01,-9%
2014-09-02,-6%
2014-09-03,+1%
2014-09-04,-4%
2014-09-05,-4%
2014-09-06,-12%
2014-09-07,-12%
2014-09-08,-4%
2014-09-09,-6%
2014-09-10,+0%
2014-09-11,+12%
2014-09-12,-1%
2014-09-13,-9%
2014-09-14,-12%
2014-09-15,-1%
2014-09-16,+3%
2014-09-17,+9%
2014-09-18, 
2014-09-19, 



Top searches
gambino,100
childish gambino,100
police,65
obama,40
3005,25
3005 childish gambino,25
fire,25
shooting,25
one direction,20
schoolhouse rock,15
离婚律师,15
prison,15
kid president,10
obama speech,10
isis,10
childish gambino sweatpants,10
fail army,10
royals,10
wassabi productions,5
police shooting,5



Rising searches
obama speech isis,Breakout
st louis shooting,Breakout
isis,+700%
schoolhouse rock,+400%
obama speech,+350%
lab safety,+250%
kid president,+190%
childish gambino freestyle,+170%
president obama,+130%
police shooting,+120%



