Google Shopping interest
United States; Past 30 days

Interest over time
Day,People & Society
2014-08-20,+0%
2014-08-21,+5%
2014-08-22,+5%
2014-08-23,+5%
2014-08-24,+2%
2014-08-25,+2%
2014-08-26,+1%
2014-08-27,+5%
2014-08-28,+5%
2014-08-29,+8%
2014-08-30,+8%
2014-08-31,+3%
2014-09-01,+4%
2014-09-02,+8%
2014-09-03,+6%
2014-09-04,-1%
2014-09-05,+2%
2014-09-06,+1%
2014-09-07,+6%
2014-09-08,+5%
2014-09-09,+4%
2014-09-10,+0%
2014-09-11,+6%
2014-09-12,+3%
2014-09-13,+3%
2014-09-14,+3%
2014-09-15,+3%
2014-09-16,+5%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
baby,100
stroller,35
car seat,30
graco,20
wedding dresses,15
bible,15
wedding dress,15
baby shower,15
dolls,10
target,10
love,10
wedding bands,10
diapers,10
diaper bag,10
strollers,10
babies r us,10
wedding rings,10
double stroller,5
joggers,5
high chair,5



Rising searches
halloween costumes,Breakout
baby bottles,+70%
steampunk,+70%
babies r us,+50%
infant car seat,+50%
baby car seat,+40%
convertible car seat,+40%



