Web Search interest
United States; Past 30 days

Interest over time
Day,People & Society
2014-08-18,+0%
2014-08-19,-1%
2014-08-20,+4%
2014-08-21,+0%
2014-08-22,-2%
2014-08-23,+3%
2014-08-24,+6%
2014-08-25,+0%
2014-08-26,+1%
2014-08-27,+0%
2014-08-28,-1%
2014-08-29,+1%
2014-08-30,-3%
2014-08-31,+5%
2014-09-01,+1%
2014-09-02,+2%
2014-09-03,+3%
2014-09-04,+2%
2014-09-05,-2%
2014-09-06,-1%
2014-09-07,+6%
2014-09-08,+6%
2014-09-09,+3%
2014-09-10,+3%
2014-09-11,+0%
2014-09-12,+0%
2014-09-13,-1%
2014-09-14,+4%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
baby,100
girls,70
bible,55
hot,50
love,30
cool math,30
horoscope,30
cool games,25
cool math games,25
tmz,20
social security,15
james foley,15
babies r us,15
jesus,15
pandora,15
credit karma,15
calculator,10
friends,10
baby names,10
jennifer lawrence,10



Rising searches
james foley,Breakout
james foley video,Breakout
grandparents day,+1,500%
jennifer lawrence,+1,350%
als,+500%
jill duggar,+250%
abcya,+160%
starfall,+140%
cool games,+130%
cool math games,+130%



