Google Shopping interest
United States; Past 30 days

Interest over time
Day,Real Estate
2014-08-20,+0%
2014-08-21,+1%
2014-08-22,-13%
2014-08-23,+3%
2014-08-24,+0%
2014-08-25,+2%
2014-08-26,+1%
2014-08-27,+1%
2014-08-28,-5%
2014-08-29,-1%
2014-08-30,-3%
2014-08-31,-4%
2014-09-01,+8%
2014-09-02,+2%
2014-09-03,-4%
2014-09-04,-5%
2014-09-05,+3%
2014-09-06,+2%
2014-09-07,-6%
2014-09-08,-9%
2014-09-09,-9%
2014-09-10,-1%
2014-09-11,-8%
2014-09-12,-5%
2014-09-13,-19%
2014-09-14,+1%
2014-09-15,-4%
2014-09-16,-10%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
houses,100
house,90
flats,90
homes for sale,70
zillow,35
houses for rent,35
houses for sale,25






