News Search interest
United States; Past 30 days

Interest over time
Day,Real Estate
2014-08-19,+0%
2014-08-20,+1%
2014-08-21,-1%
2014-08-22,+4%
2014-08-23,-2%
2014-08-24,-9%
2014-08-25,+3%
2014-08-26,+3%
2014-08-27,-3%
2014-08-28,-1%
2014-08-29,-1%
2014-08-30,-7%
2014-08-31,-9%
2014-09-01,-12%
2014-09-02,-5%
2014-09-03,-3%
2014-09-04,-12%
2014-09-05,-4%
2014-09-06,-1%
2014-09-07,-6%
2014-09-08,-10%
2014-09-09,-9%
2014-09-10,-6%
2014-09-11,-4%
2014-09-12,-3%
2014-09-13,-4%
2014-09-14,-12%
2014-09-15,-7%
2014-09-16,-2%
2014-09-17, 
2014-09-18, 



Top searches
florida,100
real,90
apartments,85
real estate,85
homes,65
housing,50
zillow,50
house,45
tulsa,30
orlando,25
houses for rent,20
prilly,20
housing market,15
mls,15
aliando prilly,10
aliando,10
apartments for rent,10






