YouTube Search interest
United States; Past 30 days

Interest over time
Day,Real Estate
2014-08-20,+0%
2014-08-21,-2%
2014-08-22,-19%
2014-08-23,-2%
2014-08-24,-12%
2014-08-25,-9%
2014-08-26,-9%
2014-08-27,+0%
2014-08-28,-9%
2014-08-29,-5%
2014-08-30,+0%
2014-08-31,+8%
2014-09-01,+0%
2014-09-02,+8%
2014-09-03,-2%
2014-09-04,-10%
2014-09-05,-2%
2014-09-06,-6%
2014-09-07,-9%
2014-09-08,-16%
2014-09-09,-5%
2014-09-10,+0%
2014-09-11,+0%
2014-09-12,+3%
2014-09-13,-3%
2014-09-14,-2%
2014-09-15,+5%
2014-09-16,-11%
2014-09-17,-13%
2014-09-18, 
2014-09-19, 



Top searches
real estate,100
minecraft house,65
elders react,65
rent,55



Rising searches
elders react,+50%



