Web Search interest
United States; Past 30 days

Interest over time
Day,Reference
2014-08-18,+0%
2014-08-19,+5%
2014-08-20,+1%
2014-08-21,+5%
2014-08-22,+1%
2014-08-23,-10%
2014-08-24,-7%
2014-08-25,+4%
2014-08-26,+10%
2014-08-27,+10%
2014-08-28,+11%
2014-08-29,+7%
2014-08-30,-12%
2014-08-31,-12%
2014-09-01,-4%
2014-09-02,+12%
2014-09-03,+14%
2014-09-04,+17%
2014-09-05,+10%
2014-09-06,-7%
2014-09-07,-5%
2014-09-08,+14%
2014-09-09,+15%
2014-09-10,+18%
2014-09-11,+19%
2014-09-12,+10%
2014-09-13,-10%
2014-09-14,+0%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
craigslist,100
google,40
maps,30
quotes,25
translate,25
map,20
definition,20
google maps,15
translate google,15
library,10
dictionary,10
calendar,10
us,5
translator,5
calculator,5
thesaurus,5
bing,5
translation,5
directions,5
2014 calendar,5



Rising searches
the fappening,Breakout
mymathlab,+500%
pearson,+350%
september 2014 calendar,+250%
graphing calculator,+200%
calculator,+50%
dictionary,+50%
egypt,+50%
spain,+50%
spanish translator,+50%



