News Search interest
United States; Past 30 days

Interest over time
Day,Science
2014-08-19,+0%
2014-08-20,+14%
2014-08-21,+16%
2014-08-22,+14%
2014-08-23,-2%
2014-08-24,+20%
2014-08-25,+35%
2014-08-26,+27%
2014-08-27,+24%
2014-08-28,+20%
2014-08-29,+16%
2014-08-30,-2%
2014-08-31,+2%
2014-09-01,+6%
2014-09-02,+14%
2014-09-03,+20%
2014-09-04,+10%
2014-09-05,+16%
2014-09-06,-4%
2014-09-07,+4%
2014-09-08,+31%
2014-09-09,+39%
2014-09-10,+31%
2014-09-11,+55%
2014-09-12,+86%
2014-09-13,+96%
2014-09-14,+31%
2014-09-15,+49%
2014-09-16,+33%
2014-09-17, 
2014-09-18, 



Top searches
science,100
climate,95
tropical cyclones,95
climate change,90
northern lights,75
global warming,75
solar flare,65
aurora borealis,55
hawking,45
moon,45
quantum,40
environmental,40
volcano,40
stephen hawking,40
dinosaur,40
math,35
robots,35
nasa,35
solar storm,35
bardarbunga,35



Rising searches
aurora borealis,Breakout
bardarbunga,Breakout
northern lights,Breakout
stephen hawking,+650%
hawking,+550%
solar storm,+450%
solar flare,+200%
environmental,+150%
dinosaur,+100%
science,+60%



