YouTube Search interest
United States; Past 30 days

Interest over time
Day,Science
2014-08-20,+0%
2014-08-21,+3%
2014-08-22,-1%
2014-08-23,-12%
2014-08-24,-9%
2014-08-25,-1%
2014-08-26,+7%
2014-08-27,+14%
2014-08-28,+11%
2014-08-29,+9%
2014-08-30,-11%
2014-08-31,-1%
2014-09-01,+1%
2014-09-02,+22%
2014-09-03,+22%
2014-09-04,+24%
2014-09-05,+18%
2014-09-06,-4%
2014-09-07,+7%
2014-09-08,+24%
2014-09-09,+28%
2014-09-10,+35%
2014-09-11,+26%
2014-09-12,+20%
2014-09-13,+1%
2014-09-14,+9%
2014-09-15,+26%
2014-09-16,+34%
2014-09-17,+30%
2014-09-18, 
2014-09-19, 



Top searches
science,100
black widow,95
game theory,50
bill nye,45
math,45
animals,40
iggy black widow,30
robot,30
chemistry,30
dinosaur,30
physics,25
o2l,25
big bang theory,25
spider,25
swatted,20
java,20
khan academy,20
dinosaurs,20
algebra,20
science experiments,15



Rising searches
kootra,Breakout
swatting,Breakout
swatted,+1,550%
scientific method,+300%
chemistry,+120%
algebra,+110%
biology,+80%
calculus,+70%
khan academy,+70%
bill nye,+60%



