YouTube Search interest
United States; Past 30 days

Interest over time
Day,Shopping
2014-08-20,+0%
2014-08-21,+2%
2014-08-22,+5%
2014-08-23,+1%
2014-08-24,+0%
2014-08-25,-3%
2014-08-26,-4%
2014-08-27,-5%
2014-08-28,-7%
2014-08-29,-5%
2014-08-30,-1%
2014-08-31,-1%
2014-09-01,-2%
2014-09-02,-9%
2014-09-03,-9%
2014-09-04,-12%
2014-09-05,-11%
2014-09-06,-4%
2014-09-07,-3%
2014-09-08,-14%
2014-09-09,-11%
2014-09-10,-13%
2014-09-11,-13%
2014-09-12,-8%
2014-09-13,-6%
2014-09-14,-7%
2014-09-15,-13%
2014-09-16,-16%
2014-09-17,-15%
2014-09-18, 
2014-09-19, 



Top searches
ice bucket,100
ice bucket challenge,80
xbox,50
lego,45
minecraft,45
full album,40
diamond minecart,30
xbox 360,25
tyler oakley,25
barbie,25
the diamond minecart,20
peppa pig,15
toys,15
nerf,15
ps4,15
ice bucket fail,15
shoes,15
transformers,15
hoodie allen,10
xbox one,10



Rising searches
9/11 footage,Breakout
giancarlo stanton,Breakout
ice bucket fail,Breakout
ice bucket fails,Breakout
joan rivers,+1,100%
9/11,+1,050%
ice bucket,+650%
ice bucket challenge,+650%
destiny,+150%
snootie wild,+140%



