YouTube Search interest
United States; Past 30 days

Interest over time
Day,Travel
2014-08-20,+0%
2014-08-21,+0%
2014-08-22,+7%
2014-08-23,+6%
2014-08-24,+6%
2014-08-25,+2%
2014-08-26,+6%
2014-08-27,+14%
2014-08-28,+5%
2014-08-29,+6%
2014-08-30,+10%
2014-08-31,+10%
2014-09-01,+10%
2014-09-02,+8%
2014-09-03,+0%
2014-09-04,+0%
2014-09-05,+5%
2014-09-06,-1%
2014-09-07,+1%
2014-09-08,-1%
2014-09-09,-5%
2014-09-10,+0%
2014-09-11,+0%
2014-09-12,-1%
2014-09-13,+2%
2014-09-14,-2%
2014-09-15,+0%
2014-09-16,+0%
2014-09-17,+1%
2014-09-18, 
2014-09-19, 



Top searches
weeknd,100
ride,100
the weeknd,90
disney,85
train,80
roller coaster,75
flight,65
cruise,55
six flags,50
attack on titan,50
disney world,50
or nah,50
weeknd or nah,45
disneyland,45
mountain,30
las vegas,30
bus,30
airplane,25
exo,25
azir,25



Rising searches
azir,Breakout
first flight home,+110%
barcelona,+70%
parachute,+70%
weeknd often,+70%
the weekend,+60%
school bus,+50%
walt disney world,+50%
parks and rec,+40%
the lacs,+40%



