News Search interest
United States; Past 7 days

Interest over time
Day,Arts & Entertainment
2014-09-12,+0%
2014-09-13,+11%
2014-09-14,+11%
2014-09-15,-4%
2014-09-16,+6%
2014-09-17, 
2014-09-18, 



Top searches
kanye,100
kanye west,100
youtube,95
news,50
nicki minaj,45
beyonce,45
miley cyrus,35
selena gomez,35
batman,30
rihanna,30
josh gordon,30
music,30
richard kiel,30
taylor swift,30
netflix,30
movies,30
nicole kidman,30
u2,30
chris brown,30
kardashian,30



Rising searches
billy horschel,Breakout
richard kiel,Breakout
the star-spangled banner,Breakout
nicole kidman,+1,500%
kanye west,+800%
kanye,+650%
iggy azalea,+200%
scotland,+120%
nicki minaj,+80%
u2,+70%



