YouTube Search interest
United States; Past 7 days

Interest over time
Day,Arts & Entertainment
2014-09-13,+0%
2014-09-14,-1%
2014-09-15,-1%
2014-09-16,+1%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
music,100
songs,90
full movie,70
nicki minaj,65
bass,50
taylor swift,45
anaconda,45
movies,45
shake it off,40
funny,40
iggy,35
anaconda nicki minaj,35
beyonce,35
iggy azalea,30
ariana grande,30
chris brown,30
drake,30
bang bang,30
eminem,25
full movies,20



Rising searches
mockingjay official trailer,+1,000%
mockingjay trailer,+650%
99 red balloons,+200%
ellen degeneres anaconda,+90%
bethany mota,+60%
ellen degeneres,+60%
nick jonas jealous,+60%
blame calvin harris,+50%
slipknot,+50%
stand by me,+50%



