News Search interest
United States; Past 7 days

Interest over time
Day,Computers & Electronics
2014-09-12,+0%
2014-09-13,-23%
2014-09-14,-25%
2014-09-15,-13%
2014-09-16,-10%
2014-09-17, 
2014-09-18, 



Top searches
apple,100
iphone,60
apple inc.,30
xbox,30
alibaba,25
microsoft,25
windows,20
ps4,20
xbox one,20
playstation,20
iphone 6,15
ios,15
google,15
apple store,15
playstation 4,15
alibaba group,15
ipod,15
ios 8,10
note 4,10
galaxy s5,10



Rising searches
cabo,Breakout
microsoft windows,+1,150%
playstation 4,+170%
apple store,+160%
alibaba group,+150%
microsoft,+110%
playstation,+100%
windows,+100%
alibaba,+90%
tablet,+80%



