YouTube Search interest
United States; Past 7 days

Interest over time
Day,Computers & Electronics
2014-09-13,+0%
2014-09-14,+5%
2014-09-15,+3%
2014-09-16,+1%
2014-09-17,+2%
2014-09-18, 
2014-09-19, 



Top searches
minecraft,100
no flex,65
flex zone,65
no flex zone,60
xbox 360,60
apple,60
photoshop,55
iphone 6,40
ios 8,35
destiny,35
ps4,35
windows 7,30
gaming,30
xbox one,30
galaxy s5,25
speaker knockerz,25
blurred lines,25
minecraft xbox,25
kid ink,25
baby einstein,25



Rising searches
smash bros 3ds,+200%
ios 8,+190%
blurred lines,+130%
faker,+40%



