News Search interest
United States; Past 7 days

Interest over time
Day,Internet & Telecom
2014-09-12,+0%
2014-09-13,-27%
2014-09-14,-38%
2014-09-15,-25%
2014-09-16,-31%
2014-09-17, 
2014-09-18, 



Top searches
iphone,100
iphone 6,45
google,15
verizon,5
iphone plus,5
iphone 6 plus,5
android,5
samsung,5
sprint,5
apple,5
at&t,5
mail,5
apple iphone,5
yahoo,5
verizon iphone,5
htc,5
nexus,5
yahoo mail,5
att,5
apple iphone 6,0



Rising searches
iphone 6 plus,+170%
iphone plus,+160%
sprint,+110%
verizon iphone,+110%
att,+100%
htc,+100%
iphone 6 verizon,+100%
t mobile,+100%
at&t iphone,+90%
android,+70%



