Web Search interest
United States; Past 7 days

Interest over time
Day,Jobs & Education
2014-09-11,+0%
2014-09-12,-6%
2014-09-13,-28%
2014-09-14,-30%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
school,100
jobs,40
test,10
salary,10
blackboard,10
classroom,5
indeed,5
resume,5
academy,5
classroom google,5
notre dame,5
powerschool,5
barnes and noble,5
act,5
work,5
moodle,0
interview questions,0
usc,0
scholastic,0
skyward,0



Rising searches
doherty high school,+1,200%
kent state,+120%
boston college football,+110%
boston college,+60%
georgia tech,+50%
purdue,+50%
tcu,+50%
act,+40%
act test,+40%
act test dates,+40%



