News Search interest
United States; Past 7 days

Interest over time
Day,News
2014-09-12,+0%
2014-09-13,-8%
2014-09-14,-15%
2014-09-15,-10%
2014-09-16,-8%
2014-09-17, 
2014-09-18, 



Top searches
news,100
weather,80
palin,15
cnn,10
kardashian,10
fox news,10
tiempo,10
obama,5
hillary clinton,5
sarah palin,5
miley cyrus,5
john kerry,5
nicole kidman,5
google,5
kim kardashian,5
hillary rodham clinton,5
putin,5
françois hollande,5
latest news,5
bbc,5



Rising searches
nicole kidman,Breakout
palin,+1,400%
hillary rodham clinton,+850%
sarah palin,+850%
john kerry,+800%
françois hollande,+600%
streisand,+450%
scotland,+350%
hillary clinton,+300%
india,+80%



