YouTube Search interest
United States; Past 7 days

Interest over time
Day,News
2014-09-13,+0%
2014-09-14,+0%
2014-09-15,+6%
2014-09-16,+12%
2014-09-17,+9%
2014-09-18, 
2014-09-19, 



Top searches
ellen,100
news,85
ellen degeneres,55
miley cyrus,55
chief keef,30
beyonce,25
ellen show,20
obama,20
vice,15
vice news,15
first take,15
espn first take,15
jennifer lopez,15
kim kardashian,15
trump,15
amy winehouse,10
ellen degeneres anaconda,10
stevie wonder,10
ellen 2014,10
gabriel iglesias,10



Rising searches
amy winehouse,+50%
ellen,+50%
ellen degeneres,+50%
barbra streisand,+40%
ellen degeneres anaconda,+40%
ellen show,+40%



