Web Search interest
United States; Past 7 days

Interest over time
Day,Real Estate
2014-09-11,+0%
2014-09-12,-2%
2014-09-13,-3%
2014-09-14,-4%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
rent,100
apartments,100
homes,95
zillow,55
homes for sale,50
real,50
house,50
houses,45
real estate,45
florida,30
home,30
apartments for rent,25
houses for rent,20
homes for rent,20
realtor,15
houses for sale,15
craigslist ny,15
trulia,15
orlando,10
mls,10



Rising searches
freedom tower,+500%
median,+60%
my location,+60%
craigslist new york,+50%
reality tea,+50%
fsbo,+40%
metrolist,+40%
naples florida,+40%
www.twitter.com home,+40%
zillow ny,+40%



