News Search interest
United States; Past 7 days

Interest over time
Day,Shopping
2014-09-12,+0%
2014-09-13,+4%
2014-09-14,-6%
2014-09-15,-7%
2014-09-16,-10%
2014-09-17, 
2014-09-18, 



Top searches
xbox,100
alibaba,85
ps4,60
xbox one,60
joan rivers,60
playstation,60
adrian peterson,55
amazon,55
netflix,55
ebay,50
walmart,50
alibaba group,50
playstation 4,45
apple,45
giancarlo stanton,45
ipod,40
nintendo,25
destiny,20
target,20
minecraft,20



Rising searches
adrian peterson,Breakout
giancarlo stanton,Breakout
urban outfitters,Breakout
alibaba group,+200%
playstation 4,+180%
playstation,+140%
netflix,+120%
alibaba,+110%
target,+90%
ipod,+70%



