Image Search interest
United States; Past 90 days

Interest over time
Day,Books & Literature
2014-06-19,+0%
2014-06-20,-1%
2014-06-21,-4%
2014-06-22,-2%
2014-06-23,-1%
2014-06-24,-1%
2014-06-25,+0%
2014-06-26,-1%
2014-06-27,-3%
2014-06-28,-5%
2014-06-29,-5%
2014-06-30,-3%
2014-07-01,+0%
2014-07-02,-1%
2014-07-03,-3%
2014-07-04,-11%
2014-07-05,-12%
2014-07-06,-5%
2014-07-07,-5%
2014-07-08,+0%
2014-07-09,-2%
2014-07-10,-2%
2014-07-11,-5%
2014-07-12,-5%
2014-07-13,-5%
2014-07-14,-2%
2014-07-15,-2%
2014-07-16,-4%
2014-07-17,-6%
2014-07-18,-10%
2014-07-19,-11%
2014-07-20,-6%
2014-07-21,-3%
2014-07-22,+0%
2014-07-23,-3%
2014-07-24,-1%
2014-07-25,-6%
2014-07-26,-12%
2014-07-27,-7%
2014-07-28,-1%
2014-07-29,-4%
2014-07-30,-2%
2014-07-31,-1%
2014-08-01,-4%
2014-08-02,-10%
2014-08-03,-7%
2014-08-04,-1%
2014-08-05,-3%
2014-08-06,-6%
2014-08-07,-5%
2014-08-08,-5%
2014-08-09,-12%
2014-08-10,-9%
2014-08-11,+0%
2014-08-12,+1%
2014-08-13,-1%
2014-08-14,-3%
2014-08-15,-3%
2014-08-16,-9%
2014-08-17,-4%
2014-08-18,-1%
2014-08-19,+2%
2014-08-20,+2%
2014-08-21,+1%
2014-08-22,-3%
2014-08-23,-4%
2014-08-24,-6%
2014-08-25,-1%
2014-08-26,+3%
2014-08-27,+3%
2014-08-28,+0%
2014-08-29,-3%
2014-08-30,-4%
2014-08-31,-3%
2014-09-01,-7%
2014-09-02,-6%
2014-09-03,-4%
2014-09-04,-3%
2014-09-05,+0%
2014-09-06,-7%
2014-09-07,-3%
2014-09-08,+2%
2014-09-09,+5%
2014-09-10,+1%
2014-09-11,+0%
2014-09-12,-1%
2014-09-13,-4%
2014-09-14,-5%
2014-09-15,+6%
2014-09-16,+5%
2014-09-17, 
2014-09-18, 



Top searches
quotes,100
love,15
love quotes,15
life quotes,5
funny quotes,5
tumblr quotes,5
book,5
quote,5
frases,5
quotes about life,5
game of thrones,5
cute quotes,5
inspirational quotes,5
sayings,5
poems,5
quotes about love,5
amor,5
books,5
best quotes,0
de amor,0



Rising searches
the giver,+350%
nicola peltz,+300%
football quotes,+150%
bonnie and clyde,+130%
kata kata,+120%
kata kata mutiara,+120%
kata kata cinta,+90%
kata-kata,+80%
sword art online,+60%
jennifer aniston,+40%



