News Search interest
United States; Past 90 days

Interest over time
Day,Books & Literature
2014-06-19,+0%
2014-06-20,-14%
2014-06-21,-17%
2014-06-22,-16%
2014-06-23,-27%
2014-06-24,-27%
2014-06-25,-23%
2014-06-26,-30%
2014-06-27,-28%
2014-06-28,-16%
2014-06-29,-27%
2014-06-30,-22%
2014-07-01,-34%
2014-07-02,-22%
2014-07-03,-27%
2014-07-04,-25%
2014-07-05,-27%
2014-07-06,-25%
2014-07-07,-30%
2014-07-08,+16%
2014-07-09,+56%
2014-07-10,+34%
2014-07-11,-31%
2014-07-12,-11%
2014-07-13,-19%
2014-07-14,-23%
2014-07-15,-6%
2014-07-16,-23%
2014-07-17,-33%
2014-07-18,-33%
2014-07-19,-17%
2014-07-20,-27%
2014-07-21,-27%
2014-07-22,-23%
2014-07-23,-30%
2014-07-24,-28%
2014-07-25,-28%
2014-07-26,-6%
2014-07-27,-12%
2014-07-28,-22%
2014-07-29,-28%
2014-07-30,-30%
2014-07-31,-22%
2014-08-01,-30%
2014-08-02,-23%
2014-08-03,-23%
2014-08-04,-28%
2014-08-05,-25%
2014-08-06,-25%
2014-08-07,-16%
2014-08-08,-27%
2014-08-09,-23%
2014-08-10,-27%
2014-08-11,-22%
2014-08-12,-14%
2014-08-13,-19%
2014-08-14,-23%
2014-08-15,-17%
2014-08-16,-16%
2014-08-17,-19%
2014-08-18,-25%
2014-08-19,-25%
2014-08-20,-25%
2014-08-21,-28%
2014-08-22,-25%
2014-08-23,-27%
2014-08-24,-28%
2014-08-25,-23%
2014-08-26,-16%
2014-08-27,-14%
2014-08-28,-30%
2014-08-29,-31%
2014-08-30,-30%
2014-08-31,-19%
2014-09-01,-31%
2014-09-02,-31%
2014-09-03,-31%
2014-09-04,-23%
2014-09-05,-19%
2014-09-06,-23%
2014-09-07,-31%
2014-09-08,-28%
2014-09-09,+0%
2014-09-10,-19%
2014-09-11,-23%
2014-09-12,-30%
2014-09-13,-25%
2014-09-14,-23%
2014-09-15,-28%
2014-09-16,-30%
2014-09-17, 
2014-09-18, 



Top searches
game of thrones,100
quotes,100
rowling,50
book,45
books,40
j. k. rowling,35
harry,25
pretty little liars,25
magazine,25
harry potter,25
vampire diaries,20
kata kata,15
true detective,15
frases,15
fanfiction,15
leo tolstoy,10
amor,10
love quotes,10
the giver,10
final fantasy,10



Rising searches
leo tolstoy,Breakout
j. k. rowling,+1,050%
the giver,+750%
rowling,+650%
jk rowling,+160%
harry potter,+130%
pretty little liars,+130%
harry,+100%
kata kata,+100%
the hobbit,+100%



