YouTube Search interest
United States; Past 90 days

Interest over time
Day,Finance
2014-06-20,+0%
2014-06-21,-2%
2014-06-22,-7%
2014-06-23,-2%
2014-06-24,-10%
2014-06-25,-14%
2014-06-26,-7%
2014-06-27,-9%
2014-06-28,-8%
2014-06-29,-10%
2014-06-30,-3%
2014-07-01,-10%
2014-07-02,-7%
2014-07-03,+3%
2014-07-04,-7%
2014-07-05,-5%
2014-07-06,+10%
2014-07-07,-1%
2014-07-08,-3%
2014-07-09,+0%
2014-07-10,+3%
2014-07-11,-5%
2014-07-12,-14%
2014-07-13,-5%
2014-07-14,-8%
2014-07-15,-8%
2014-07-16,-8%
2014-07-17,-7%
2014-07-18,-2%
2014-07-19,-4%
2014-07-20,+2%
2014-07-21,-1%
2014-07-22,-8%
2014-07-23,-8%
2014-07-24,-8%
2014-07-25,-2%
2014-07-26,-1%
2014-07-27,-8%
2014-07-28,-13%
2014-07-29,-3%
2014-07-30,-1%
2014-07-31,-5%
2014-08-01,-3%
2014-08-02,-5%
2014-08-03,-19%
2014-08-04,-8%
2014-08-05,+7%
2014-08-06,-5%
2014-08-07,-7%
2014-08-08,-7%
2014-08-09,-11%
2014-08-10,-12%
2014-08-11,-1%
2014-08-12,-11%
2014-08-13,-5%
2014-08-14,-4%
2014-08-15,-8%
2014-08-16,-2%
2014-08-17,-5%
2014-08-18,-5%
2014-08-19,+8%
2014-08-20,+1%
2014-08-21,+2%
2014-08-22,+1%
2014-08-23,-5%
2014-08-24,+0%
2014-08-25,-8%
2014-08-26,+0%
2014-08-27,-8%
2014-08-28,-1%
2014-08-29,-8%
2014-08-30,-10%
2014-08-31,-4%
2014-09-01,-4%
2014-09-02,-8%
2014-09-03,-4%
2014-09-04,-11%
2014-09-05,-15%
2014-09-06,-10%
2014-09-07,-9%
2014-09-08,-13%
2014-09-09,-14%
2014-09-10,-2%
2014-09-11,-8%
2014-09-12,-7%
2014-09-13,-4%
2014-09-14,-10%
2014-09-15,+1%
2014-09-16,-5%
2014-09-17,-1%
2014-09-18, 
2014-09-19, 



Top searches
mlp,100
bts,80
payday,65
fx,65
payday 2,55
chase,45
syndicate,40
banks,40
w2s,35
lucky penny,30
lucky penny shop,25
red light fx,20
danger bts,20
nae nae,20
accounting,15
ballislife,15
chase rice,15
dishonored,15
expiration date,15
stocks,10



Rising searches
danger bts,Breakout
red light fx,Breakout
expiration date,+1,000%
old money,+450%
irs,+190%
foreign,+150%
fx,+110%
payday,+60%
payday 2,+60%
dishonored,+50%



