News Search interest
United States; Past 90 days

Interest over time
Day,Food & Drink
2014-06-19,+0%
2014-06-20,-3%
2014-06-21,+8%
2014-06-22,+0%
2014-06-23,-14%
2014-06-24,+2%
2014-06-25,-5%
2014-06-26,-12%
2014-06-27,-2%
2014-06-28,+8%
2014-06-29,+8%
2014-06-30,-8%
2014-07-01,-6%
2014-07-02,+11%
2014-07-03,+8%
2014-07-04,+21%
2014-07-05,+9%
2014-07-06,+14%
2014-07-07,-6%
2014-07-08,+2%
2014-07-09,-9%
2014-07-10,-8%
2014-07-11,+2%
2014-07-12,+11%
2014-07-13,+5%
2014-07-14,-3%
2014-07-15,+5%
2014-07-16,+11%
2014-07-17,-9%
2014-07-18,-8%
2014-07-19,+11%
2014-07-20,+18%
2014-07-21,+9%
2014-07-22,+29%
2014-07-23,+52%
2014-07-24,+20%
2014-07-25,+33%
2014-07-26,+27%
2014-07-27,+20%
2014-07-28,+12%
2014-07-29,+15%
2014-07-30,+12%
2014-07-31,+12%
2014-08-01,+8%
2014-08-02,+14%
2014-08-03,+12%
2014-08-04,+9%
2014-08-05,+6%
2014-08-06,+14%
2014-08-07,+14%
2014-08-08,+5%
2014-08-09,+9%
2014-08-10,+2%
2014-08-11,-8%
2014-08-12,-9%
2014-08-13,-5%
2014-08-14,+2%
2014-08-15,+11%
2014-08-16,+14%
2014-08-17,+15%
2014-08-18,+3%
2014-08-19,+6%
2014-08-20,+5%
2014-08-21,+3%
2014-08-22,+3%
2014-08-23,+15%
2014-08-24,+14%
2014-08-25,+30%
2014-08-26,+50%
2014-08-27,+29%
2014-08-28,+14%
2014-08-29,+6%
2014-08-30,+15%
2014-08-31,+3%
2014-09-01,-5%
2014-09-02,-12%
2014-09-03,-11%
2014-09-04,+5%
2014-09-05,+8%
2014-09-06,+11%
2014-09-07,-2%
2014-09-08,-2%
2014-09-09,-11%
2014-09-10,-6%
2014-09-11,-9%
2014-09-12,-3%
2014-09-13,+3%
2014-09-14,-2%
2014-09-15,-9%
2014-09-16,-8%
2014-09-17, 
2014-09-18, 



Top searches
market basket,100
food,80
restaurant,80
pizza,70
restaurants,50
meat,40
mcdonalds,35
recipes,35
starbucks,35
beer,30
denver,30
tim hortons,30
pizza hut,25
portland,25
coffee,25
cake,20
burger king,20
fast food,20
cheese,20
frozen,20



Rising searches
demoulas,Breakout
market basket,Breakout
market basket news,Breakout
tim hortons,+3,700%
napa,+250%
meat,+160%
burger king,+150%
fast food,+120%
coke,+60%
kroger,+60%



