YouTube Search interest
United States; Past 90 days

Interest over time
Day,Food & Drink
2014-06-20,+0%
2014-06-21,-1%
2014-06-22,+0%
2014-06-23,-4%
2014-06-24,-5%
2014-06-25,+0%
2014-06-26,-8%
2014-06-27,-3%
2014-06-28,-2%
2014-06-29,+0%
2014-06-30,+1%
2014-07-01,-1%
2014-07-02,+3%
2014-07-03,+0%
2014-07-04,+4%
2014-07-05,-1%
2014-07-06,+0%
2014-07-07,-1%
2014-07-08,+2%
2014-07-09,+1%
2014-07-10,+2%
2014-07-11,+1%
2014-07-12,-1%
2014-07-13,+0%
2014-07-14,-2%
2014-07-15,-4%
2014-07-16,-4%
2014-07-17,-6%
2014-07-18,-5%
2014-07-19,-1%
2014-07-20,+1%
2014-07-21,+3%
2014-07-22,+4%
2014-07-23,-1%
2014-07-24,-3%
2014-07-25,+0%
2014-07-26,-2%
2014-07-27,+1%
2014-07-28,+0%
2014-07-29,-1%
2014-07-30,-4%
2014-07-31,-3%
2014-08-01,+3%
2014-08-02,+0%
2014-08-03,+0%
2014-08-04,+0%
2014-08-05,+2%
2014-08-06,+2%
2014-08-07,+1%
2014-08-08,+0%
2014-08-09,+0%
2014-08-10,-2%
2014-08-11,-4%
2014-08-12,-5%
2014-08-13,-4%
2014-08-14,-4%
2014-08-15,-3%
2014-08-16,-3%
2014-08-17,+0%
2014-08-18,-4%
2014-08-19,-6%
2014-08-20,-8%
2014-08-21,-5%
2014-08-22,-7%
2014-08-23,-2%
2014-08-24,-3%
2014-08-25,-12%
2014-08-26,-8%
2014-08-27,-4%
2014-08-28,-5%
2014-08-29,-6%
2014-08-30,-5%
2014-08-31,-5%
2014-09-01,+0%
2014-09-02,-8%
2014-09-03,-7%
2014-09-04,-8%
2014-09-05,-7%
2014-09-06,-5%
2014-09-07,-2%
2014-09-08,-9%
2014-09-09,-11%
2014-09-10,-5%
2014-09-11,-9%
2014-09-12,-4%
2014-09-13,-6%
2014-09-14,-5%
2014-09-15,-10%
2014-09-16,-7%
2014-09-17,-5%
2014-09-18, 
2014-09-19, 



Top searches
vine,100
cake,65
frozen,55
food,55
vines,50
troye sivan,40
cooking,35
candy,35
pizza,30
chocolate,30
gummy bear,30
rice,25
ice cream,25
vine compilation,25
gummy bear song,20
mcdonalds,20
mac miller,15
chef,15
hangover,15
best vines,15



Rising searches
happy little pill,Breakout
day drinking,+500%
drunk history,+250%
munchies,+250%
sunshine and whiskey,+200%
troye sivan,+100%
bean boozled,+80%
too much,+80%
bean boozled challenge,+70%
tyler oakley,+50%



