YouTube Search interest
United States; Past 90 days

Interest over time
Day,Health
2014-06-20,+0%
2014-06-21,-4%
2014-06-22,-1%
2014-06-23,+1%
2014-06-24,+7%
2014-06-25,+8%
2014-06-26,+6%
2014-06-27,+4%
2014-06-28,-1%
2014-06-29,-3%
2014-06-30,+6%
2014-07-01,+8%
2014-07-02,+11%
2014-07-03,+4%
2014-07-04,-1%
2014-07-05,+3%
2014-07-06,+0%
2014-07-07,+1%
2014-07-08,+7%
2014-07-09,+7%
2014-07-10,+4%
2014-07-11,+1%
2014-07-12,-4%
2014-07-13,-1%
2014-07-14,+4%
2014-07-15,+4%
2014-07-16,+3%
2014-07-17,+4%
2014-07-18,+0%
2014-07-19,-3%
2014-07-20,+1%
2014-07-21,+4%
2014-07-22,+3%
2014-07-23,+8%
2014-07-24,+3%
2014-07-25,+0%
2014-07-26,-3%
2014-07-27,+0%
2014-07-28,+3%
2014-07-29,+4%
2014-07-30,+8%
2014-07-31,+8%
2014-08-01,+7%
2014-08-02,+39%
2014-08-03,+11%
2014-08-04,+14%
2014-08-05,+13%
2014-08-06,+8%
2014-08-07,+8%
2014-08-08,+7%
2014-08-09,+1%
2014-08-10,+0%
2014-08-11,+4%
2014-08-12,+4%
2014-08-13,+4%
2014-08-14,+8%
2014-08-15,+1%
2014-08-16,+0%
2014-08-17,+1%
2014-08-18,+6%
2014-08-19,+4%
2014-08-20,+10%
2014-08-21,+4%
2014-08-22,+4%
2014-08-23,-6%
2014-08-24,+0%
2014-08-25,+1%
2014-08-26,+8%
2014-08-27,+8%
2014-08-28,+6%
2014-08-29,+4%
2014-08-30,-6%
2014-08-31,+1%
2014-09-01,+0%
2014-09-02,+18%
2014-09-03,+18%
2014-09-04,+13%
2014-09-05,+4%
2014-09-06,-1%
2014-09-07,+3%
2014-09-08,+8%
2014-09-09,+4%
2014-09-10,+7%
2014-09-11,+4%
2014-09-12,+4%
2014-09-13,-3%
2014-09-14,-3%
2014-09-15,+13%
2014-09-16,+13%
2014-09-17,+14%
2014-09-18, 
2014-09-19, 



Top searches
amnesia,100
weed,80
surgery,60
asmr,55
5sos,55
smoking,55
5sos amnesia,55
pranks,45
pranks gone wrong,45
heart,40
fat,40
pain,35
morning routine,35
general hospital,35
paul george,30
lil herb,25
marijuana,25
cid,25
ebola,25
paul george injury,20



Rising searches
happy little pill,Breakout
paul george injury,Breakout
paul george,+3,600%
dose of fousey,+2,300%
5sos amnesia,+2,100%
5sos,+1,500%
ebola,+1,050%
amnesia,+400%
ocd,+150%
pranks gone wrong,+100%



