News Search interest
United States; Past 90 days

Interest over time
Day,Hobbies & Leisure
2014-06-19,+0%
2014-06-20,+3%
2014-06-21,+14%
2014-06-22,+10%
2014-06-23,+2%
2014-06-24,-3%
2014-06-25,-2%
2014-06-26,-8%
2014-06-27,+11%
2014-06-28,+27%
2014-06-29,+16%
2014-06-30,+22%
2014-07-01,+16%
2014-07-02,+25%
2014-07-03,+37%
2014-07-04,+54%
2014-07-05,+59%
2014-07-06,+43%
2014-07-07,+24%
2014-07-08,+16%
2014-07-09,+13%
2014-07-10,+11%
2014-07-11,+3%
2014-07-12,+22%
2014-07-13,+25%
2014-07-14,+32%
2014-07-15,+25%
2014-07-16,+27%
2014-07-17,+11%
2014-07-18,+21%
2014-07-19,+32%
2014-07-20,+27%
2014-07-21,+5%
2014-07-22,+6%
2014-07-23,+19%
2014-07-24,+32%
2014-07-25,+21%
2014-07-26,+27%
2014-07-27,+56%
2014-07-28,+44%
2014-07-29,+30%
2014-07-30,-2%
2014-07-31,+0%
2014-08-01,+0%
2014-08-02,+8%
2014-08-03,+8%
2014-08-04,-2%
2014-08-05,-8%
2014-08-06,+0%
2014-08-07,+5%
2014-08-08,-8%
2014-08-09,+0%
2014-08-10,+2%
2014-08-11,-10%
2014-08-12,-14%
2014-08-13,-6%
2014-08-14,-10%
2014-08-15,-5%
2014-08-16,+3%
2014-08-17,+0%
2014-08-18,-2%
2014-08-19,-2%
2014-08-20,+2%
2014-08-21,-3%
2014-08-22,+0%
2014-08-23,+14%
2014-08-24,+10%
2014-08-25,+10%
2014-08-26,-6%
2014-08-27,-5%
2014-08-28,-2%
2014-08-29,-8%
2014-08-30,+6%
2014-08-31,+6%
2014-09-01,+6%
2014-09-02,-13%
2014-09-03,-11%
2014-09-04,-13%
2014-09-05,-5%
2014-09-06,+6%
2014-09-07,+2%
2014-09-08,-10%
2014-09-09,-16%
2014-09-10,-10%
2014-09-11,-10%
2014-09-12,+2%
2014-09-13,-2%
2014-09-14,+6%
2014-09-15,-5%
2014-09-16,-2%
2014-09-17, 
2014-09-18, 



Top searches
tour de france,100
lottery,60
dog,45
wedding,45
hobby lobby,30
dogs,30
cat,25
atlantic city,25
bachelorette,20
boeing,20
shark,20
imagenes,20
fishing,20
animal,15
ice bucket,15
exo,15
fish,15
eid,10
zoo,10
lotto,10



Rising searches
ice bucket,Breakout
ice bucket challenge,Breakout
tour de france,Breakout
eid,+4,800%
ramadan,+1,450%
atlantic city,+400%
hobby lobby,+250%
bachelorette,+150%
barca,+130%
great white,+130%



