Web Search interest
United States; Past 90 days

Interest over time
Day,Home & Garden
2014-06-18,+0%
2014-06-19,+1%
2014-06-20,-1%
2014-06-21,+9%
2014-06-22,+9%
2014-06-23,+5%
2014-06-24,+1%
2014-06-25,+0%
2014-06-26,-1%
2014-06-27,+0%
2014-06-28,+12%
2014-06-29,+16%
2014-06-30,+6%
2014-07-01,+2%
2014-07-02,+1%
2014-07-03,+1%
2014-07-04,+4%
2014-07-05,+14%
2014-07-06,+13%
2014-07-07,+8%
2014-07-08,+6%
2014-07-09,+1%
2014-07-10,+1%
2014-07-11,-2%
2014-07-12,+11%
2014-07-13,+7%
2014-07-14,+6%
2014-07-15,+0%
2014-07-16,+1%
2014-07-17,-4%
2014-07-18,+2%
2014-07-19,+8%
2014-07-20,+15%
2014-07-21,+5%
2014-07-22,+0%
2014-07-23,+0%
2014-07-24,-1%
2014-07-25,-1%
2014-07-26,+8%
2014-07-27,+18%
2014-07-28,+5%
2014-07-29,-1%
2014-07-30,+1%
2014-07-31,-2%
2014-08-01,-2%
2014-08-02,+7%
2014-08-03,+9%
2014-08-04,+6%
2014-08-05,+1%
2014-08-06,+0%
2014-08-07,-2%
2014-08-08,-2%
2014-08-09,+6%
2014-08-10,+11%
2014-08-11,-1%
2014-08-12,-5%
2014-08-13,-5%
2014-08-14,-4%
2014-08-15,-6%
2014-08-16,+4%
2014-08-17,+11%
2014-08-18,-1%
2014-08-19,-5%
2014-08-20,-5%
2014-08-21,-5%
2014-08-22,-4%
2014-08-23,+8%
2014-08-24,+9%
2014-08-25,-2%
2014-08-26,-7%
2014-08-27,-8%
2014-08-28,-8%
2014-08-29,-7%
2014-08-30,+7%
2014-08-31,+12%
2014-09-01,+13%
2014-09-02,-6%
2014-09-03,-8%
2014-09-04,-13%
2014-09-05,-13%
2014-09-06,+2%
2014-09-07,+1%
2014-09-08,-7%
2014-09-09,-12%
2014-09-10,-13%
2014-09-11,-13%
2014-09-12,-11%
2014-09-13,+1%
2014-09-14,+1%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
home depot,100
furniture,90
lowes,75
ikea,40
bed bath beyond,30
amc,25
amazon,20
walmart,20
pottery barn,20
refrigerator,15
sears,15
target,15
vacuum,15
bedding,15
box,15
menards,15
air conditioner,15
king,15
toilet,10
clock,10



Rising searches
chandelier lyrics,+450%
hemlock grove,+400%
sia chandelier,+250%
sia chandelier lyrics,+250%
chandelier,+120%
azealia banks,+110%
ikea usa,+90%
dehumidifier,+60%
pbteen,+50%
sleep number bed,+50%



