Web Search interest
United States; Past 90 days

Interest over time
Day,Internet & Telecom
2014-06-18,+0%
2014-06-19,+0%
2014-06-20,+1%
2014-06-21,-7%
2014-06-22,-7%
2014-06-23,-4%
2014-06-24,-1%
2014-06-25,+0%
2014-06-26,-1%
2014-06-27,-1%
2014-06-28,-7%
2014-06-29,-12%
2014-06-30,-6%
2014-07-01,-1%
2014-07-02,-3%
2014-07-03,-3%
2014-07-04,-10%
2014-07-05,-10%
2014-07-06,-13%
2014-07-07,-1%
2014-07-08,+0%
2014-07-09,+0%
2014-07-10,-1%
2014-07-11,-3%
2014-07-12,-9%
2014-07-13,-10%
2014-07-14,-4%
2014-07-15,+0%
2014-07-16,+0%
2014-07-17,-3%
2014-07-18,+1%
2014-07-19,-4%
2014-07-20,-6%
2014-07-21,+0%
2014-07-22,+0%
2014-07-23,+0%
2014-07-24,-1%
2014-07-25,-1%
2014-07-26,-6%
2014-07-27,-10%
2014-07-28,-3%
2014-07-29,-1%
2014-07-30,+0%
2014-07-31,+1%
2014-08-01,+1%
2014-08-02,-7%
2014-08-03,-7%
2014-08-04,-1%
2014-08-05,-1%
2014-08-06,+1%
2014-08-07,+3%
2014-08-08,-1%
2014-08-09,-4%
2014-08-10,-9%
2014-08-11,-1%
2014-08-12,-6%
2014-08-13,+1%
2014-08-14,+3%
2014-08-15,+1%
2014-08-16,+1%
2014-08-17,-3%
2014-08-18,+3%
2014-08-19,-1%
2014-08-20,+0%
2014-08-21,+1%
2014-08-22,+1%
2014-08-23,-3%
2014-08-24,-6%
2014-08-25,+0%
2014-08-26,+3%
2014-08-27,+4%
2014-08-28,+1%
2014-08-29,+1%
2014-08-30,-7%
2014-08-31,-7%
2014-09-01,-7%
2014-09-02,+1%
2014-09-03,+4%
2014-09-04,+1%
2014-09-05,+3%
2014-09-06,-3%
2014-09-07,-6%
2014-09-08,+4%
2014-09-09,+49%
2014-09-10,+33%
2014-09-11,+18%
2014-09-12,+24%
2014-09-13,+9%
2014-09-14,+6%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
google,100
mail,70
iphone,60
yahoo,60
yahoo mail,55
verizon,35
iphone 6,25
mobile,25
tumblr,20
aol,20
email,20
at&t,20
twitter,20
msn,20
verizon wireless,15
comcast,15
att,15
samsung,15
sprint,15
gmail,10



Rising searches
iphone 6 plus,Breakout
iphone 6 price,+950%
www google,+750%
apple iphone 6,+550%
purge,+350%
iphone 6,+300%
purge 2,+300%
the purge,+300%
new iphone,+110%
amazon phone,+100%



