News Search interest
United States; Past 90 days

Interest over time
Day,Jobs & Education
2014-06-19,+0%
2014-06-20,-16%
2014-06-21,-25%
2014-06-22,-30%
2014-06-23,-23%
2014-06-24,-18%
2014-06-25,-18%
2014-06-26,-23%
2014-06-27,-22%
2014-06-28,-28%
2014-06-29,-31%
2014-06-30,-24%
2014-07-01,-20%
2014-07-02,-17%
2014-07-03,-18%
2014-07-04,-35%
2014-07-05,-34%
2014-07-06,-34%
2014-07-07,-20%
2014-07-08,-24%
2014-07-09,-24%
2014-07-10,-23%
2014-07-11,-28%
2014-07-12,-33%
2014-07-13,-41%
2014-07-14,-12%
2014-07-15,-7%
2014-07-16,-16%
2014-07-17,-25%
2014-07-18,-25%
2014-07-19,-34%
2014-07-20,-28%
2014-07-21,-22%
2014-07-22,-17%
2014-07-23,-19%
2014-07-24,-19%
2014-07-25,-17%
2014-07-26,-29%
2014-07-27,-31%
2014-07-28,-20%
2014-07-29,-13%
2014-07-30,-6%
2014-07-31,-14%
2014-08-01,-14%
2014-08-02,-23%
2014-08-03,-28%
2014-08-04,-13%
2014-08-05,-12%
2014-08-06,-8%
2014-08-07,-13%
2014-08-08,-22%
2014-08-09,-28%
2014-08-10,-34%
2014-08-11,-23%
2014-08-12,-22%
2014-08-13,-8%
2014-08-14,-13%
2014-08-15,-12%
2014-08-16,-27%
2014-08-17,-25%
2014-08-18,-7%
2014-08-19,-6%
2014-08-20,+4%
2014-08-21,-1%
2014-08-22,+1%
2014-08-23,-10%
2014-08-24,-23%
2014-08-25,-4%
2014-08-26,-1%
2014-08-27,+7%
2014-08-28,-4%
2014-08-29,+7%
2014-08-30,+16%
2014-08-31,+1%
2014-09-01,-20%
2014-09-02,-6%
2014-09-03,-1%
2014-09-04,-4%
2014-09-05,+0%
2014-09-06,+8%
2014-09-07,+20%
2014-09-08,+1%
2014-09-09,+11%
2014-09-10,+6%
2014-09-11,-4%
2014-09-12,-1%
2014-09-13,+8%
2014-09-14,-1%
2014-09-15,-5%
2014-09-16,+0%
2014-09-17, 
2014-09-18, 



Top searches
school,100
high school,40
college,40
jobs,30
schools,20
education,15
job,10
teacher,10
at,5
notre dame,5
uber,5
colleges,5
teachers,5
academy,5
ucla,5
test,5
als,5
nebraska,5
ohio state,5
byu,5



Rising searches
pennsylvania state university,+1,700%
corinthian colleges,+1,350%
als,+1,150%
waec,+500%
cpns,+350%
michigan state university,+250%
ohio state,+160%
notre dame,+110%
usc,+90%
colleges,+70%



