Image Search interest
United States; Past 90 days

Interest over time
Day,Law & Government
2014-06-19,+0%
2014-06-20,+2%
2014-06-21,-6%
2014-06-22,-4%
2014-06-23,-1%
2014-06-24,-4%
2014-06-25,-2%
2014-06-26,+4%
2014-06-27,-2%
2014-06-28,-5%
2014-06-29,-11%
2014-06-30,-2%
2014-07-01,-1%
2014-07-02,+1%
2014-07-03,+4%
2014-07-04,+5%
2014-07-05,+0%
2014-07-06,-6%
2014-07-07,+0%
2014-07-08,-1%
2014-07-09,+0%
2014-07-10,+1%
2014-07-11,-2%
2014-07-12,-11%
2014-07-13,-9%
2014-07-14,-2%
2014-07-15,+0%
2014-07-16,+1%
2014-07-17,+4%
2014-07-18,-1%
2014-07-19,-5%
2014-07-20,-5%
2014-07-21,+0%
2014-07-22,+1%
2014-07-23,-2%
2014-07-24,-1%
2014-07-25,+0%
2014-07-26,-9%
2014-07-27,-8%
2014-07-28,-6%
2014-07-29,-2%
2014-07-30,-4%
2014-07-31,-2%
2014-08-01,-1%
2014-08-02,+7%
2014-08-03,-4%
2014-08-04,+0%
2014-08-05,+0%
2014-08-06,-1%
2014-08-07,+1%
2014-08-08,+4%
2014-08-09,-4%
2014-08-10,-7%
2014-08-11,-1%
2014-08-12,-6%
2014-08-13,-1%
2014-08-14,+4%
2014-08-15,+18%
2014-08-16,-6%
2014-08-17,-7%
2014-08-18,+1%
2014-08-19,+6%
2014-08-20,+6%
2014-08-21,+8%
2014-08-22,+2%
2014-08-23,-7%
2014-08-24,-7%
2014-08-25,+1%
2014-08-26,+5%
2014-08-27,+9%
2014-08-28,+14%
2014-08-29,+2%
2014-08-30,-7%
2014-08-31,-6%
2014-09-01,-12%
2014-09-02,-2%
2014-09-03,+1%
2014-09-04,+5%
2014-09-05,+8%
2014-09-06,-6%
2014-09-07,-9%
2014-09-08,+7%
2014-09-09,+11%
2014-09-10,+11%
2014-09-11,+14%
2014-09-12,+11%
2014-09-13,-4%
2014-09-14,-7%
2014-09-15,+12%
2014-09-16,+16%
2014-09-17, 
2014-09-18, 



Top searches
police,100
army,70
fire,55
navy,55
obama,55
military,50
elsa,40
jail,35
safety,30
air force,25
city,25
law,25
murder,25
prison,25
crime scene,20
bear,20
one direction,20
states,15
elsa frozen,15
jason,15



Rising searches
darren wilson,Breakout
darren wilson police,Breakout
officer darren wilson,Breakout
paul george leg,Breakout
rae sremmurd,+2,150%
lab safety,+850%
tim howard,+800%
rowan blanchard,+700%
9/11,+160%
paul george,+160%



