News Search interest
United States; Past 90 days

Interest over time
Day,Law & Government
2014-06-19,+0%
2014-06-20,-13%
2014-06-21,-23%
2014-06-22,-25%
2014-06-23,-14%
2014-06-24,-9%
2014-06-25,+13%
2014-06-26,+4%
2014-06-27,-1%
2014-06-28,-17%
2014-06-29,-23%
2014-06-30,+0%
2014-07-01,-1%
2014-07-02,-3%
2014-07-03,-8%
2014-07-04,-22%
2014-07-05,-23%
2014-07-06,-26%
2014-07-07,-14%
2014-07-08,-13%
2014-07-09,-10%
2014-07-10,-3%
2014-07-11,-16%
2014-07-12,-25%
2014-07-13,-36%
2014-07-14,-16%
2014-07-15,-13%
2014-07-16,-10%
2014-07-17,-5%
2014-07-18,-6%
2014-07-19,-17%
2014-07-20,-19%
2014-07-21,-9%
2014-07-22,-3%
2014-07-23,-9%
2014-07-24,-14%
2014-07-25,-9%
2014-07-26,-19%
2014-07-27,-25%
2014-07-28,-22%
2014-07-29,-13%
2014-07-30,-13%
2014-07-31,-6%
2014-08-01,-9%
2014-08-02,+3%
2014-08-03,-16%
2014-08-04,+0%
2014-08-05,-3%
2014-08-06,-9%
2014-08-07,-10%
2014-08-08,-17%
2014-08-09,-18%
2014-08-10,-21%
2014-08-11,-14%
2014-08-12,-18%
2014-08-13,-5%
2014-08-14,+1%
2014-08-15,+14%
2014-08-16,-8%
2014-08-17,-12%
2014-08-18,+8%
2014-08-19,+17%
2014-08-20,+30%
2014-08-21,+22%
2014-08-22,+8%
2014-08-23,-13%
2014-08-24,-26%
2014-08-25,-18%
2014-08-26,-12%
2014-08-27,-9%
2014-08-28,-5%
2014-08-29,-14%
2014-08-30,-26%
2014-08-31,-21%
2014-09-01,-23%
2014-09-02,-17%
2014-09-03,-9%
2014-09-04,-9%
2014-09-05,-12%
2014-09-06,-29%
2014-09-07,-31%
2014-09-08,-16%
2014-09-09,-23%
2014-09-10,-9%
2014-09-11,+4%
2014-09-12,-3%
2014-09-13,-23%
2014-09-14,-34%
2014-09-15,-18%
2014-09-16,-10%
2014-09-17, 
2014-09-18, 



Top searches
police,100
immigration,60
obama,45
news,30
court,25
murder,20
immigration reform,20
rick perry,20
shooting,15
united states,15
supreme court,15
california,10
unemployment,10
military,10
european union,10
fire,10
navy,10
army,10
senate,10
paul george,10



Rising searches
mian nawaz sharif,Breakout
isis,+3,400%
ferguson,+3,050%
nawaz sharif,+2,550%
rick perry,+1,600%
paul george,+800%
european union,+400%
thad cochran,+300%
israel,+160%
police,+140%



