Google Shopping interest
United States; Past 90 days

Interest over time
Day,News
2014-06-20,+0%
2014-06-21,+2%
2014-06-22,+5%
2014-06-23,-2%
2014-06-24,+4%
2014-06-25,+0%
2014-06-26,+9%
2014-06-27,-2%
2014-06-28,+13%
2014-06-29,+9%
2014-06-30,+2%
2014-07-01,+6%
2014-07-02,+9%
2014-07-03,+18%
2014-07-04,+18%
2014-07-05,+20%
2014-07-06,+9%
2014-07-07,-2%
2014-07-08,+1%
2014-07-09,+4%
2014-07-10,-1%
2014-07-11,+0%
2014-07-12,+16%
2014-07-13,+13%
2014-07-14,+1%
2014-07-15,+6%
2014-07-16,+2%
2014-07-17,-1%
2014-07-18,-2%
2014-07-19,+7%
2014-07-20,+5%
2014-07-21,+1%
2014-07-22,-2%
2014-07-23,+1%
2014-07-24,+2%
2014-07-25,+6%
2014-07-26,+17%
2014-07-27,+16%
2014-07-28,+5%
2014-07-29,-10%
2014-07-30,-7%
2014-07-31,+4%
2014-08-01,+11%
2014-08-02,+9%
2014-08-03,+0%
2014-08-04,-12%
2014-08-05,-6%
2014-08-06,+1%
2014-08-07,+12%
2014-08-08,+7%
2014-08-09,+13%
2014-08-10,+11%
2014-08-11,+7%
2014-08-12,-2%
2014-08-13,+4%
2014-08-14,+0%
2014-08-15,+4%
2014-08-16,+10%
2014-08-17,+5%
2014-08-18,-5%
2014-08-19,+1%
2014-08-20,+9%
2014-08-21,+11%
2014-08-22,+16%
2014-08-23,+12%
2014-08-24,+9%
2014-08-25,+0%
2014-08-26,+7%
2014-08-27,-1%
2014-08-28,+4%
2014-08-29,+6%
2014-08-30,+16%
2014-08-31,+9%
2014-09-01,+6%
2014-09-02,+10%
2014-09-03,+5%
2014-09-04,+1%
2014-09-05,+13%
2014-09-06,+22%
2014-09-07,+1%
2014-09-08,+5%
2014-09-09,-2%
2014-09-10,-2%
2014-09-11,+4%
2014-09-12,+4%
2014-09-13,-1%
2014-09-14,-4%
2014-09-15,-4%
2014-09-16,-4%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
weather,100
news,5
weather radar,0
citizen,0
weather forecast,0
fox news,0
cnn,0
american flag,0
underground weather,0
miley cyrus,0
kim kardashian,0
fan,0
weather channel,0
humidifier,0
accuweather,0
nike pegasus,0
citizen eco drive,0
jessica simpson,0
weather hourly,0
chicago weather,0



Rising searches
underground weather,+180%
weather radar,+70%
huffington post,+60%
espn,+50%



