News Search interest
United States; Past 90 days

Interest over time
Day,Online Communities
2014-06-19,+0%
2014-06-20,-12%
2014-06-21,+3%
2014-06-22,-4%
2014-06-23,-24%
2014-06-24,-24%
2014-06-25,-19%
2014-06-26,-22%
2014-06-27,-21%
2014-06-28,-4%
2014-06-29,-4%
2014-06-30,+0%
2014-07-01,-2%
2014-07-02,+7%
2014-07-03,+9%
2014-07-04,+2%
2014-07-05,-2%
2014-07-06,-4%
2014-07-07,-18%
2014-07-08,-21%
2014-07-09,-29%
2014-07-10,-25%
2014-07-11,-18%
2014-07-12,-8%
2014-07-13,-15%
2014-07-14,-24%
2014-07-15,-25%
2014-07-16,-21%
2014-07-17,-24%
2014-07-18,-22%
2014-07-19,-3%
2014-07-20,-4%
2014-07-21,-22%
2014-07-22,-25%
2014-07-23,-9%
2014-07-24,-3%
2014-07-25,-16%
2014-07-26,+0%
2014-07-27,-3%
2014-07-28,-26%
2014-07-29,-17%
2014-07-30,-8%
2014-07-31,-17%
2014-08-01,+12%
2014-08-02,-4%
2014-08-03,+0%
2014-08-04,-12%
2014-08-05,-19%
2014-08-06,-17%
2014-08-07,-16%
2014-08-08,-16%
2014-08-09,-3%
2014-08-10,-7%
2014-08-11,-19%
2014-08-12,-30%
2014-08-13,-21%
2014-08-14,-24%
2014-08-15,-21%
2014-08-16,-9%
2014-08-17,-6%
2014-08-18,-17%
2014-08-19,-20%
2014-08-20,-17%
2014-08-21,-19%
2014-08-22,-4%
2014-08-23,+1%
2014-08-24,-4%
2014-08-25,-24%
2014-08-26,-22%
2014-08-27,-21%
2014-08-28,-18%
2014-08-29,-17%
2014-08-30,-6%
2014-08-31,-9%
2014-09-01,-10%
2014-09-02,-20%
2014-09-03,+0%
2014-09-04,-24%
2014-09-05,-17%
2014-09-06,-3%
2014-09-07,-9%
2014-09-08,-25%
2014-09-09,-27%
2014-09-10,-25%
2014-09-11,-22%
2014-09-12,-21%
2014-09-13,-8%
2014-09-14,-10%
2014-09-15,-27%
2014-09-16,-20%
2014-09-17, 
2014-09-18, 



Top searches
facebook,100
twitter,10
facebook login,5
dating,5
tumblr,5
women,0
wallpaper,0
facebook messenger,0
linkedin,0
images,0
lana del rey,0
facebook mobile,0
russian,0
فيس بوك,0
face,0
social media,0
woman,0
одноклассники,0
face book,0
facebook down,0



Rising searches
raonic,+700%
facebook down,+550%
facebook messenger,+450%
facebook com,+150%
facebook mobile,+150%
فيس بوك,+90%
facebook app,+70%
photos,+60%
. facebook,+50%
facebook.com,+40%



