Web Search interest
United States; Past 90 days

Interest over time
Day,Online Communities
2014-06-18,+0%
2014-06-19,+0%
2014-06-20,+3%
2014-06-21,+7%
2014-06-22,+7%
2014-06-23,+1%
2014-06-24,+1%
2014-06-25,+0%
2014-06-26,+0%
2014-06-27,+2%
2014-06-28,+8%
2014-06-29,+8%
2014-06-30,-1%
2014-07-01,+0%
2014-07-02,+0%
2014-07-03,+5%
2014-07-04,+10%
2014-07-05,+16%
2014-07-06,+13%
2014-07-07,+0%
2014-07-08,-1%
2014-07-09,+1%
2014-07-10,+3%
2014-07-11,+1%
2014-07-12,+7%
2014-07-13,+3%
2014-07-14,+1%
2014-07-15,+0%
2014-07-16,+1%
2014-07-17,+2%
2014-07-18,+6%
2014-07-19,+7%
2014-07-20,+14%
2014-07-21,+1%
2014-07-22,+0%
2014-07-23,+1%
2014-07-24,+5%
2014-07-25,+3%
2014-07-26,+6%
2014-07-27,+12%
2014-07-28,+0%
2014-07-29,+2%
2014-07-30,+1%
2014-07-31,-1%
2014-08-01,+8%
2014-08-02,+6%
2014-08-03,+8%
2014-08-04,+1%
2014-08-05,-1%
2014-08-06,+0%
2014-08-07,+7%
2014-08-08,+2%
2014-08-09,+8%
2014-08-10,+9%
2014-08-11,-1%
2014-08-12,+0%
2014-08-13,+0%
2014-08-14,+3%
2014-08-15,+3%
2014-08-16,+9%
2014-08-17,+8%
2014-08-18,+3%
2014-08-19,+2%
2014-08-20,+3%
2014-08-21,+5%
2014-08-22,+6%
2014-08-23,+12%
2014-08-24,+7%
2014-08-25,+1%
2014-08-26,+0%
2014-08-27,+2%
2014-08-28,+2%
2014-08-29,+1%
2014-08-30,+8%
2014-08-31,+9%
2014-09-01,+7%
2014-09-02,-1%
2014-09-03,+2%
2014-09-04,-1%
2014-09-05,+0%
2014-09-06,+5%
2014-09-07,+8%
2014-09-08,-3%
2014-09-09,-3%
2014-09-10,-1%
2014-09-11,-2%
2014-09-12,+2%
2014-09-13,+6%
2014-09-14,+6%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
facebook,100
twitter,5
tumblr,5
facebook login,5
linkedin,5
wallpaper,0
gif,0
torrent,0
pof,0
face,0
chat,0
images,0
gifs,0
facebook mobile,0
okcupid,0
instagram,0
clip art,0
club penguin,0
shutterfly,0
megashare,0



Rising searches
www facebook com,+2,200%
facebook com,+650%
facebook messenger,+500%
فيس بوك,+160%
الفيس,+120%
facebook mobile,+100%
fecebook,+70%
download lagu,+60%
facebook app,+60%
pirates bay,+60%



