YouTube Search interest
United States; Past 90 days

Interest over time
Day,Online Communities
2014-06-20,+0%
2014-06-21,+9%
2014-06-22,+3%
2014-06-23,+2%
2014-06-24,-1%
2014-06-25,-2%
2014-06-26,-3%
2014-06-27,+1%
2014-06-28,+1%
2014-06-29,+7%
2014-06-30,+0%
2014-07-01,-1%
2014-07-02,-3%
2014-07-03,+3%
2014-07-04,+4%
2014-07-05,+7%
2014-07-06,+4%
2014-07-07,+3%
2014-07-08,-3%
2014-07-09,-2%
2014-07-10,+0%
2014-07-11,+1%
2014-07-12,+2%
2014-07-13,+4%
2014-07-14,+3%
2014-07-15,+1%
2014-07-16,+3%
2014-07-17,+2%
2014-07-18,+5%
2014-07-19,+8%
2014-07-20,+8%
2014-07-21,+1%
2014-07-22,+5%
2014-07-23,+3%
2014-07-24,-1%
2014-07-25,+2%
2014-07-26,-1%
2014-07-27,+3%
2014-07-28,+2%
2014-07-29,+3%
2014-07-30,-1%
2014-07-31,+2%
2014-08-01,+0%
2014-08-02,+0%
2014-08-03,+7%
2014-08-04,+3%
2014-08-05,+8%
2014-08-06,+1%
2014-08-07,+5%
2014-08-08,+4%
2014-08-09,+7%
2014-08-10,+4%
2014-08-11,+1%
2014-08-12,+0%
2014-08-13,-1%
2014-08-14,-4%
2014-08-15,+0%
2014-08-16,+1%
2014-08-17,+4%
2014-08-18,-5%
2014-08-19,-3%
2014-08-20,+0%
2014-08-21,-1%
2014-08-22,-1%
2014-08-23,+1%
2014-08-24,+5%
2014-08-25,-4%
2014-08-26,-7%
2014-08-27,-3%
2014-08-28,-5%
2014-08-29,-7%
2014-08-30,-3%
2014-08-31,+0%
2014-09-01,+1%
2014-09-02,-4%
2014-09-03,-8%
2014-09-04,-9%
2014-09-05,-10%
2014-09-06,+0%
2014-09-07,+5%
2014-09-08,-10%
2014-09-09,-8%
2014-09-10,-5%
2014-09-11,-13%
2014-09-12,-8%
2014-09-13,+0%
2014-09-14,+7%
2014-09-15,-11%
2014-09-16,-10%
2014-09-17,-4%
2014-09-18, 
2014-09-19, 



Top searches
gmod,100
watchmojo,55
play doh,50
lindsey stirling,40
lana del rey,35
facebook,30
russian,30
women,30
graser10,25
vines,20
venturiantale,20
venturiantale gmod,20
club penguin,20
mojo,20
secrets,20
skyblock,15
tumblr,15
vanossgaming,15
vanossgaming gmod,10
gifs,10



Rising searches
secrets mary lambert,Breakout
cookie swirl c,+550%
crack kid,+150%
secrets,+80%
vanossgaming,+70%
vanossgaming gmod,+70%
hallmark movies,+60%
watch mojo,+60%
gifs,+50%
gifs with sound,+50%



