YouTube Search interest
United States; Past 90 days

Interest over time
Day,People & Society
2014-06-20,+0%
2014-06-21,+3%
2014-06-22,+3%
2014-06-23,+2%
2014-06-24,+1%
2014-06-25,+2%
2014-06-26,+2%
2014-06-27,+1%
2014-06-28,+3%
2014-06-29,+8%
2014-06-30,+7%
2014-07-01,+7%
2014-07-02,+3%
2014-07-03,+1%
2014-07-04,+2%
2014-07-05,+3%
2014-07-06,+8%
2014-07-07,+5%
2014-07-08,+7%
2014-07-09,+3%
2014-07-10,+2%
2014-07-11,+3%
2014-07-12,+5%
2014-07-13,+3%
2014-07-14,+2%
2014-07-15,+5%
2014-07-16,+3%
2014-07-17,+0%
2014-07-18,+1%
2014-07-19,+3%
2014-07-20,+7%
2014-07-21,+6%
2014-07-22,+6%
2014-07-23,+8%
2014-07-24,+5%
2014-07-25,+5%
2014-07-26,+0%
2014-07-27,+5%
2014-07-28,+6%
2014-07-29,+0%
2014-07-30,+5%
2014-07-31,+3%
2014-08-01,+6%
2014-08-02,+0%
2014-08-03,+3%
2014-08-04,+5%
2014-08-05,+2%
2014-08-06,+1%
2014-08-07,+3%
2014-08-08,+5%
2014-08-09,+8%
2014-08-10,+1%
2014-08-11,+2%
2014-08-12,-1%
2014-08-13,-1%
2014-08-14,+3%
2014-08-15,+0%
2014-08-16,+2%
2014-08-17,+6%
2014-08-18,+6%
2014-08-19,+1%
2014-08-20,+16%
2014-08-21,+8%
2014-08-22,+2%
2014-08-23,+0%
2014-08-24,+3%
2014-08-25,+6%
2014-08-26,+6%
2014-08-27,+6%
2014-08-28,+5%
2014-08-29,+9%
2014-08-30,+2%
2014-08-31,+2%
2014-09-01,+5%
2014-09-02,+5%
2014-09-03,+12%
2014-09-04,+10%
2014-09-05,+8%
2014-09-06,+5%
2014-09-07,+5%
2014-09-08,+8%
2014-09-09,+6%
2014-09-10,+10%
2014-09-11,+7%
2014-09-12,+9%
2014-09-13,+2%
2014-09-14,+6%
2014-09-15,+8%
2014-09-16,+7%
2014-09-17,+7%
2014-09-18, 
2014-09-19, 



Top searches
hot,100
baby,95
girls,75
love,65
faze,35
tech n9ne,25
bobby shmurda,25
hot niggga,25
meditation,25
imagine dragons,25
k camp,20
kissing,20
friends,20
christina perri,20
disclosure latch,20
ufo,20
illuminati,20
rhymes,20
wiggle,20
wiggle wiggle wiggle,20



Rising searches
bobby shmurda,Breakout
hot nigga,Breakout
hot niggga,Breakout
james foley,Breakout
foley,+3,550%
danger dolan,+550%
hozier,+200%
buzzfeed,+120%
shadow of mordor,+100%
hot,+70%



