Google Shopping interest
United States; Past 90 days

Interest over time
Day,Pets & Animals
2014-06-20,+0%
2014-06-21,+13%
2014-06-22,+3%
2014-06-23,+0%
2014-06-24,-3%
2014-06-25,-3%
2014-06-26,-1%
2014-06-27,-7%
2014-06-28,+3%
2014-06-29,+6%
2014-06-30,+2%
2014-07-01,+3%
2014-07-02,+1%
2014-07-03,-1%
2014-07-04,+8%
2014-07-05,+7%
2014-07-06,+14%
2014-07-07,+5%
2014-07-08,+2%
2014-07-09,+0%
2014-07-10,-2%
2014-07-11,-2%
2014-07-12,+5%
2014-07-13,+8%
2014-07-14,+0%
2014-07-15,+5%
2014-07-16,+1%
2014-07-17,+3%
2014-07-18,-3%
2014-07-19,+10%
2014-07-20,+8%
2014-07-21,+0%
2014-07-22,-3%
2014-07-23,-5%
2014-07-24,-5%
2014-07-25,+3%
2014-07-26,+5%
2014-07-27,+7%
2014-07-28,+2%
2014-07-29,-3%
2014-07-30,+1%
2014-07-31,+3%
2014-08-01,+1%
2014-08-02,+5%
2014-08-03,+1%
2014-08-04,-3%
2014-08-05,-6%
2014-08-06,-1%
2014-08-07,+0%
2014-08-08,+1%
2014-08-09,+1%
2014-08-10,+0%
2014-08-11,+2%
2014-08-12,-5%
2014-08-13,-2%
2014-08-14,-6%
2014-08-15,-5%
2014-08-16,+1%
2014-08-17,+9%
2014-08-18,-5%
2014-08-19,-3%
2014-08-20,-2%
2014-08-21,-6%
2014-08-22,-5%
2014-08-23,+8%
2014-08-24,+7%
2014-08-25,-8%
2014-08-26,-5%
2014-08-27,-7%
2014-08-28,-8%
2014-08-29,-6%
2014-08-30,+3%
2014-08-31,+8%
2014-09-01,+9%
2014-09-02,-12%
2014-09-03,-11%
2014-09-04,-12%
2014-09-05,-5%
2014-09-06,+7%
2014-09-07,+3%
2014-09-08,-12%
2014-09-09,-9%
2014-09-10,-10%
2014-09-11,-5%
2014-09-12,-3%
2014-09-13,+5%
2014-09-14,+0%
2014-09-15,-11%
2014-09-16,-8%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
dog,100
cat,40
dogs,35
fish,30
puppies,30
dog food,15
puppies for sale,15
aquarium,15
pony,15
horse,15
puppy,15
cats,10
fish tank,10
petsmart,10
my little pony,10
shark,10
petco,10
pets,10
horses,10
snake,5



Rising searches
pugs,+100%
hermit crab,+90%
bearded dragon,+70%
kittens for sale,+60%
hamsters,+50%
monkeys,+50%
bulldog,+40%
french bulldog,+40%
golden retriever,+40%
great dane,+40%



