Image Search interest
United States; Past 90 days

Interest over time
Day,Pets & Animals
2014-06-19,+0%
2014-06-20,-1%
2014-06-21,+5%
2014-06-22,+7%
2014-06-23,-1%
2014-06-24,-2%
2014-06-25,-6%
2014-06-26,-5%
2014-06-27,-1%
2014-06-28,+6%
2014-06-29,+7%
2014-06-30,-1%
2014-07-01,-5%
2014-07-02,-2%
2014-07-03,+0%
2014-07-04,+7%
2014-07-05,+8%
2014-07-06,+9%
2014-07-07,+0%
2014-07-08,+0%
2014-07-09,-3%
2014-07-10,-2%
2014-07-11,+0%
2014-07-12,+8%
2014-07-13,+7%
2014-07-14,+1%
2014-07-15,-3%
2014-07-16,-1%
2014-07-17,-2%
2014-07-18,-3%
2014-07-19,+11%
2014-07-20,+14%
2014-07-21,+2%
2014-07-22,-2%
2014-07-23,-5%
2014-07-24,+0%
2014-07-25,+3%
2014-07-26,+11%
2014-07-27,+11%
2014-07-28,-1%
2014-07-29,+1%
2014-07-30,+0%
2014-07-31,-1%
2014-08-01,-1%
2014-08-02,+3%
2014-08-03,+9%
2014-08-04,-1%
2014-08-05,-6%
2014-08-06,-3%
2014-08-07,-5%
2014-08-08,-1%
2014-08-09,+3%
2014-08-10,+8%
2014-08-11,+0%
2014-08-12,-7%
2014-08-13,-2%
2014-08-14,-2%
2014-08-15,+1%
2014-08-16,+10%
2014-08-17,+13%
2014-08-18,-2%
2014-08-19,-5%
2014-08-20,-2%
2014-08-21,+1%
2014-08-22,+5%
2014-08-23,+8%
2014-08-24,+8%
2014-08-25,-1%
2014-08-26,-2%
2014-08-27,-1%
2014-08-28,-1%
2014-08-29,+0%
2014-08-30,+7%
2014-08-31,+7%
2014-09-01,-2%
2014-09-02,-14%
2014-09-03,-12%
2014-09-04,-7%
2014-09-05,-1%
2014-09-06,+0%
2014-09-07,+1%
2014-09-08,-2%
2014-09-09,-8%
2014-09-10,-5%
2014-09-11,-6%
2014-09-12,+2%
2014-09-13,+1%
2014-09-14,+6%
2014-09-15,+0%
2014-09-16,-3%
2014-09-17, 
2014-09-18, 



Top searches
dog,100
puppies,70
cat,60
dogs,40
fish,35
puppy,25
terrier,25
pitbull,25
husky,25
bulldog,20
snake,20
cats,20
horse,20
shark,20
wolf,20
german shepherd,15
animals,15
lion,15
birds,15
tiger,15



Rising searches
grouper,+190%
fleas,+140%
anaconda,+100%
wolf spider,+100%
megalodon shark,+60%
bengal cat,+50%
megalodon,+50%
ball python,+40%
bullmastiff,+40%
great white shark,+40%



