YouTube Search interest
United States; Past 90 days

Interest over time
Day,Pets & Animals
2014-06-20,+0%
2014-06-21,+8%
2014-06-22,+10%
2014-06-23,+1%
2014-06-24,-1%
2014-06-25,+1%
2014-06-26,-2%
2014-06-27,+1%
2014-06-28,+4%
2014-06-29,+2%
2014-06-30,+1%
2014-07-01,-1%
2014-07-02,-2%
2014-07-03,+0%
2014-07-04,+1%
2014-07-05,+1%
2014-07-06,+5%
2014-07-07,+1%
2014-07-08,+1%
2014-07-09,+4%
2014-07-10,+0%
2014-07-11,-1%
2014-07-12,+5%
2014-07-13,+8%
2014-07-14,+0%
2014-07-15,+1%
2014-07-16,+0%
2014-07-17,+4%
2014-07-18,-1%
2014-07-19,+5%
2014-07-20,+7%
2014-07-21,+5%
2014-07-22,+2%
2014-07-23,-6%
2014-07-24,-4%
2014-07-25,-1%
2014-07-26,-4%
2014-07-27,-2%
2014-07-28,+0%
2014-07-29,-2%
2014-07-30,-2%
2014-07-31,-1%
2014-08-01,-2%
2014-08-02,-1%
2014-08-03,+4%
2014-08-04,+2%
2014-08-05,-4%
2014-08-06,+2%
2014-08-07,+2%
2014-08-08,+2%
2014-08-09,+7%
2014-08-10,-1%
2014-08-11,+0%
2014-08-12,-1%
2014-08-13,+0%
2014-08-14,+4%
2014-08-15,+2%
2014-08-16,+6%
2014-08-17,+2%
2014-08-18,-2%
2014-08-19,-5%
2014-08-20,+2%
2014-08-21,+17%
2014-08-22,+20%
2014-08-23,+16%
2014-08-24,+13%
2014-08-25,+5%
2014-08-26,+4%
2014-08-27,-2%
2014-08-28,+1%
2014-08-29,+7%
2014-08-30,+6%
2014-08-31,+10%
2014-09-01,+10%
2014-09-02,-2%
2014-09-03,-1%
2014-09-04,+0%
2014-09-05,+4%
2014-09-06,+13%
2014-09-07,+16%
2014-09-08,-1%
2014-09-09,+0%
2014-09-10,+8%
2014-09-11,+11%
2014-09-12,+10%
2014-09-13,+18%
2014-09-14,+11%
2014-09-15,+7%
2014-09-16,-1%
2014-09-17,+1%
2014-09-18, 
2014-09-19, 



Top searches
dog,100
cat,85
dogs,45
anaconda,45
pony,35
cats,35
pitbull,30
my little pony,25
puppies,25
terraria,25
birds,25
puppy,20
shark,20
lion,20
fish,20
horse,15
kitten,15
snake,15
animal,15
animals,15



Rising searches
pitbull fireball,Breakout
رامز قرش البحر,Breakout
anaconda,+1,200%
grouper,+800%
redbone,+750%
wild life,+80%
dunkey,+60%
pug,+40%
stampylongnose,+40%
turtles,+40%



