YouTube Search interest
United States; Past 90 days

Interest over time
Day,Reference
2014-06-20,+0%
2014-06-21,+0%
2014-06-22,-2%
2014-06-23,+1%
2014-06-24,+2%
2014-06-25,+6%
2014-06-26,+4%
2014-06-27,+2%
2014-06-28,+4%
2014-06-29,+1%
2014-06-30,+6%
2014-07-01,+4%
2014-07-02,+5%
2014-07-03,+6%
2014-07-04,+16%
2014-07-05,+17%
2014-07-06,+11%
2014-07-07,+11%
2014-07-08,+11%
2014-07-09,+7%
2014-07-10,+6%
2014-07-11,+5%
2014-07-12,+0%
2014-07-13,+5%
2014-07-14,+9%
2014-07-15,+9%
2014-07-16,+11%
2014-07-17,+7%
2014-07-18,+2%
2014-07-19,+7%
2014-07-20,+6%
2014-07-21,+15%
2014-07-22,+7%
2014-07-23,+6%
2014-07-24,+5%
2014-07-25,+2%
2014-07-26,-1%
2014-07-27,+4%
2014-07-28,+7%
2014-07-29,+5%
2014-07-30,+6%
2014-07-31,+4%
2014-08-01,+0%
2014-08-02,+0%
2014-08-03,+4%
2014-08-04,+2%
2014-08-05,+10%
2014-08-06,+5%
2014-08-07,+2%
2014-08-08,-1%
2014-08-09,-1%
2014-08-10,+1%
2014-08-11,+1%
2014-08-12,+1%
2014-08-13,+0%
2014-08-14,-1%
2014-08-15,-2%
2014-08-16,-2%
2014-08-17,-5%
2014-08-18,+1%
2014-08-19,+1%
2014-08-20,-2%
2014-08-21,+4%
2014-08-22,+0%
2014-08-23,-1%
2014-08-24,-1%
2014-08-25,+2%
2014-08-26,+7%
2014-08-27,+10%
2014-08-28,+12%
2014-08-29,+7%
2014-08-30,-1%
2014-08-31,+1%
2014-09-01,+4%
2014-09-02,+14%
2014-09-03,+15%
2014-09-04,+20%
2014-09-05,+12%
2014-09-06,+0%
2014-09-07,+5%
2014-09-08,+14%
2014-09-09,+20%
2014-09-10,+19%
2014-09-11,+14%
2014-09-12,+17%
2014-09-13,+0%
2014-09-14,+6%
2014-09-15,+23%
2014-09-16,+22%
2014-09-17,+20%
2014-09-18, 
2014-09-19, 



Top searches
history,100
history of rap,65
epic rap battles,60
how to make,50
english,30
maps,15
map,15
mermaid,10
hypnosis,10
last of us,10
mermaids,10
florida georgia line,10
german,10
ww2,10
unturned,10
speak,5
swoozie,5
motivational speech,5
civil wars,5
samurai,5



Rising searches
unturned,Breakout
rising star,+1,150%
spanish alphabet song,+550%
george washington,+200%
drunken peasants,+160%
maps,+120%
sml,+110%
mythical morning,+70%
body language,+60%
0 to 100,+40%



