Image Search interest
United States; Past 90 days

Interest over time
Day,Science
2014-06-19,+0%
2014-06-20,+0%
2014-06-21,-10%
2014-06-22,-12%
2014-06-23,-2%
2014-06-24,+6%
2014-06-25,-2%
2014-06-26,+0%
2014-06-27,+0%
2014-06-28,-12%
2014-06-29,-10%
2014-06-30,-2%
2014-07-01,+2%
2014-07-02,-2%
2014-07-03,-6%
2014-07-04,-17%
2014-07-05,-15%
2014-07-06,-10%
2014-07-07,+0%
2014-07-08,+0%
2014-07-09,+0%
2014-07-10,-4%
2014-07-11,-8%
2014-07-12,-15%
2014-07-13,-10%
2014-07-14,-2%
2014-07-15,+2%
2014-07-16,+0%
2014-07-17,-8%
2014-07-18,-8%
2014-07-19,-13%
2014-07-20,-15%
2014-07-21,-2%
2014-07-22,+0%
2014-07-23,+0%
2014-07-24,+2%
2014-07-25,-6%
2014-07-26,-13%
2014-07-27,-12%
2014-07-28,+0%
2014-07-29,-4%
2014-07-30,-2%
2014-07-31,+0%
2014-08-01,-6%
2014-08-02,-13%
2014-08-03,-12%
2014-08-04,+2%
2014-08-05,+0%
2014-08-06,+8%
2014-08-07,+6%
2014-08-08,+0%
2014-08-09,-10%
2014-08-10,-10%
2014-08-11,-2%
2014-08-12,+0%
2014-08-13,+10%
2014-08-14,+8%
2014-08-15,+0%
2014-08-16,-8%
2014-08-17,-4%
2014-08-18,+15%
2014-08-19,+23%
2014-08-20,+31%
2014-08-21,+29%
2014-08-22,+27%
2014-08-23,-4%
2014-08-24,+6%
2014-08-25,+33%
2014-08-26,+42%
2014-08-27,+58%
2014-08-28,+54%
2014-08-29,+42%
2014-08-30,-2%
2014-08-31,+6%
2014-09-01,+8%
2014-09-02,+46%
2014-09-03,+60%
2014-09-04,+71%
2014-09-05,+60%
2014-09-06,+12%
2014-09-07,+27%
2014-09-08,+83%
2014-09-09,+85%
2014-09-10,+90%
2014-09-11,+81%
2014-09-12,+71%
2014-09-13,+13%
2014-09-14,+25%
2014-09-15,+83%
2014-09-16,+92%
2014-09-17, 
2014-09-18, 



Top searches
spider,100
bugs,50
science,50
math,45
brown recluse,40
periodic table,40
animals,40
butterfly,40
sea,30
moon,30
ocean,30
spiders,30
dinosaur,30
nebula,30
earth,25
bed bugs,25
black widow,25
brain,25
bed bug,25
skeleton,25



Rising searches
brown recluse spider,+170%
wasp,+150%
brown recluse,+140%
lotus,+110%
bed bug,+90%
bed bugs,+90%
beetle,+80%
black widow,+80%
moth,+80%
spider,+70%



