Google Shopping interest
United States; Past 90 days

Interest over time
Day,Shopping
2014-06-20,+0%
2014-06-21,+5%
2014-06-22,+5%
2014-06-23,+2%
2014-06-24,+1%
2014-06-25,+2%
2014-06-26,+0%
2014-06-27,+0%
2014-06-28,+1%
2014-06-29,+0%
2014-06-30,+1%
2014-07-01,+0%
2014-07-02,+1%
2014-07-03,-2%
2014-07-04,+0%
2014-07-05,-1%
2014-07-06,+0%
2014-07-07,-2%
2014-07-08,+0%
2014-07-09,-1%
2014-07-10,+0%
2014-07-11,+1%
2014-07-12,+0%
2014-07-13,+0%
2014-07-14,+1%
2014-07-15,+2%
2014-07-16,+2%
2014-07-17,+2%
2014-07-18,+4%
2014-07-19,+5%
2014-07-20,+6%
2014-07-21,+2%
2014-07-22,+2%
2014-07-23,+0%
2014-07-24,+2%
2014-07-25,+2%
2014-07-26,+4%
2014-07-27,+5%
2014-07-28,+2%
2014-07-29,+1%
2014-07-30,+2%
2014-07-31,+2%
2014-08-01,+5%
2014-08-02,+4%
2014-08-03,+6%
2014-08-04,+4%
2014-08-05,+4%
2014-08-06,+5%
2014-08-07,+0%
2014-08-08,+6%
2014-08-09,+6%
2014-08-10,+5%
2014-08-11,+7%
2014-08-12,+6%
2014-08-13,+5%
2014-08-14,+6%
2014-08-15,+7%
2014-08-16,+5%
2014-08-17,+10%
2014-08-18,+5%
2014-08-19,+4%
2014-08-20,+2%
2014-08-21,+7%
2014-08-22,+7%
2014-08-23,+7%
2014-08-24,+7%
2014-08-25,+5%
2014-08-26,+4%
2014-08-27,+6%
2014-08-28,+1%
2014-08-29,+5%
2014-08-30,+7%
2014-08-31,+11%
2014-09-01,+11%
2014-09-02,+7%
2014-09-03,+2%
2014-09-04,-2%
2014-09-05,+4%
2014-09-06,+11%
2014-09-07,+19%
2014-09-08,+7%
2014-09-09,+8%
2014-09-10,+8%
2014-09-11,+8%
2014-09-12,+8%
2014-09-13,+18%
2014-09-14,+19%
2014-09-15,+12%
2014-09-16,+13%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
shoes,100
nike,75
dress,55
amazon,50
boots,50
walmart,40
ebay,40
dresses,35
xbox,30
lego,25
adidas,20
target,20
rings,20
sunglasses,15
xbox 360,15
nike shoes,15
jordans,15
best buy,10
headphones,10
ps3,10



Rising searches
halloween costumes,+1,100%
homecoming dresses,+750%
kd 7,+400%
uggs,+110%
nerf guns,+90%
combat boots,+80%
football cleats,+80%
american girl doll,+50%
party city,+50%
samsung galaxy s5,+50%



