Image Search interest
United States; Past 90 days

Interest over time
Day,Shopping
2014-06-19,+0%
2014-06-20,+3%
2014-06-21,+1%
2014-06-22,+0%
2014-06-23,-4%
2014-06-24,-1%
2014-06-25,+1%
2014-06-26,+0%
2014-06-27,+3%
2014-06-28,+2%
2014-06-29,+1%
2014-06-30,+1%
2014-07-01,+2%
2014-07-02,+1%
2014-07-03,-2%
2014-07-04,-1%
2014-07-05,+1%
2014-07-06,-3%
2014-07-07,-1%
2014-07-08,-4%
2014-07-09,-1%
2014-07-10,+0%
2014-07-11,+1%
2014-07-12,+1%
2014-07-13,-2%
2014-07-14,-1%
2014-07-15,+3%
2014-07-16,-1%
2014-07-17,+1%
2014-07-18,+0%
2014-07-19,+2%
2014-07-20,+2%
2014-07-21,+1%
2014-07-22,+3%
2014-07-23,+4%
2014-07-24,+5%
2014-07-25,+4%
2014-07-26,+4%
2014-07-27,+5%
2014-07-28,+2%
2014-07-29,+2%
2014-07-30,+1%
2014-07-31,+2%
2014-08-01,+5%
2014-08-02,+3%
2014-08-03,+5%
2014-08-04,+5%
2014-08-05,+2%
2014-08-06,+0%
2014-08-07,+4%
2014-08-08,+3%
2014-08-09,+5%
2014-08-10,+2%
2014-08-11,+1%
2014-08-12,-4%
2014-08-13,+0%
2014-08-14,+3%
2014-08-15,+1%
2014-08-16,+4%
2014-08-17,+3%
2014-08-18,+3%
2014-08-19,+2%
2014-08-20,+0%
2014-08-21,+0%
2014-08-22,+2%
2014-08-23,+5%
2014-08-24,+5%
2014-08-25,-1%
2014-08-26,-3%
2014-08-27,+0%
2014-08-28,-1%
2014-08-29,+2%
2014-08-30,+4%
2014-08-31,+3%
2014-09-01,-5%
2014-09-02,-7%
2014-09-03,-7%
2014-09-04,+0%
2014-09-05,+2%
2014-09-06,+8%
2014-09-07,+3%
2014-09-08,-1%
2014-09-09,-1%
2014-09-10,-1%
2014-09-11,-4%
2014-09-12,+3%
2014-09-13,+9%
2014-09-14,+10%
2014-09-15,+3%
2014-09-16,+2%
2014-09-17, 
2014-09-18, 



Top searches
shoes,100
black,90
dress,70
nike,65
white,60
shirt,50
dresses,50
birthday,45
party,35
boots,35
jordan,30
bikini,30
flowers,30
lego,30
gold,30
cosplay,25
flower,25
jordans,20
diamond,20
transformers,20



Rising searches
ice bucket challenge,Breakout
halloween costume ideas,+950%
joan rivers,+950%
halloween costumes,+550%
homecoming dresses,+550%
kd 7,+250%
nicola peltz,+250%
transformers 4,+130%
hijab,+110%
ice,+110%



