Web Search interest
United States; Past 90 days

Interest over time
Day,Shopping
2014-06-18,+0%
2014-06-19,-2%
2014-06-20,+2%
2014-06-21,+10%
2014-06-22,+11%
2014-06-23,+0%
2014-06-24,-2%
2014-06-25,+2%
2014-06-26,-1%
2014-06-27,+2%
2014-06-28,+15%
2014-06-29,+12%
2014-06-30,-1%
2014-07-01,-1%
2014-07-02,-1%
2014-07-03,+5%
2014-07-04,+9%
2014-07-05,+9%
2014-07-06,+7%
2014-07-07,+2%
2014-07-08,-2%
2014-07-09,-2%
2014-07-10,-1%
2014-07-11,+1%
2014-07-12,+7%
2014-07-13,+11%
2014-07-14,+2%
2014-07-15,+1%
2014-07-16,+4%
2014-07-17,+1%
2014-07-18,+5%
2014-07-19,+15%
2014-07-20,+14%
2014-07-21,+0%
2014-07-22,+4%
2014-07-23,+4%
2014-07-24,+2%
2014-07-25,+4%
2014-07-26,+16%
2014-07-27,+14%
2014-07-28,+5%
2014-07-29,+5%
2014-07-30,+9%
2014-07-31,+5%
2014-08-01,+5%
2014-08-02,+19%
2014-08-03,+20%
2014-08-04,+6%
2014-08-05,+2%
2014-08-06,+2%
2014-08-07,+6%
2014-08-08,+6%
2014-08-09,+15%
2014-08-10,+16%
2014-08-11,+2%
2014-08-12,-5%
2014-08-13,+0%
2014-08-14,+5%
2014-08-15,+5%
2014-08-16,+17%
2014-08-17,+22%
2014-08-18,+5%
2014-08-19,+4%
2014-08-20,+2%
2014-08-21,+4%
2014-08-22,+5%
2014-08-23,+21%
2014-08-24,+16%
2014-08-25,+0%
2014-08-26,+1%
2014-08-27,+0%
2014-08-28,+1%
2014-08-29,+6%
2014-08-30,+14%
2014-08-31,+23%
2014-09-01,+22%
2014-09-02,-2%
2014-09-03,-6%
2014-09-04,+5%
2014-09-05,+5%
2014-09-06,+14%
2014-09-07,+11%
2014-09-08,-2%
2014-09-09,-5%
2014-09-10,-2%
2014-09-11,-2%
2014-09-12,+2%
2014-09-13,+17%
2014-09-14,+17%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
amazon,100
ebay,75
walmart,75
coupons,55
netflix,50
target,45
nike,30
google,30
pandora,25
best buy,25
xbox,25
costco,20
craigslist,20
nordstrom,20
jcpenney,15
lego,15
kohls,15
sears,15
gamestop,10
redbox,10



Rising searches
ice bucket challenge,Breakout
joan rivers,+3,050%
halloween costumes,+800%
ebay official site,+700%
giancarlo stanton,+300%
transformers 4,+190%
ynet,+120%
chegg,+90%
uggs,+70%
netflix new releases,+60%



