Web Search interest
United States; Past 90 days

Interest over time
Day,Sports
2014-06-18,+0%
2014-06-19,-2%
2014-06-20,-2%
2014-06-21,+6%
2014-06-22,+24%
2014-06-23,+6%
2014-06-24,-2%
2014-06-25,-5%
2014-06-26,+24%
2014-06-27,-2%
2014-06-28,+11%
2014-06-29,+14%
2014-06-30,-3%
2014-07-01,+16%
2014-07-02,-13%
2014-07-03,-22%
2014-07-04,+5%
2014-07-05,+13%
2014-07-06,+5%
2014-07-07,-17%
2014-07-08,+5%
2014-07-09,+5%
2014-07-10,-13%
2014-07-11,-2%
2014-07-12,+6%
2014-07-13,+37%
2014-07-14,-14%
2014-07-15,-24%
2014-07-16,-24%
2014-07-17,-27%
2014-07-18,-27%
2014-07-19,-17%
2014-07-20,-16%
2014-07-21,-30%
2014-07-22,-30%
2014-07-23,-29%
2014-07-24,-30%
2014-07-25,-30%
2014-07-26,-22%
2014-07-27,-16%
2014-07-28,-29%
2014-07-29,-29%
2014-07-30,-25%
2014-07-31,-25%
2014-08-01,-29%
2014-08-02,-19%
2014-08-03,-14%
2014-08-04,-24%
2014-08-05,-29%
2014-08-06,-25%
2014-08-07,-17%
2014-08-08,-16%
2014-08-09,-8%
2014-08-10,+8%
2014-08-11,-19%
2014-08-12,-27%
2014-08-13,-29%
2014-08-14,-24%
2014-08-15,-22%
2014-08-16,-6%
2014-08-17,-3%
2014-08-18,-17%
2014-08-19,-25%
2014-08-20,-25%
2014-08-21,-25%
2014-08-22,-24%
2014-08-23,-3%
2014-08-24,+5%
2014-08-25,-16%
2014-08-26,-21%
2014-08-27,-21%
2014-08-28,-16%
2014-08-29,-8%
2014-08-30,+22%
2014-08-31,+19%
2014-09-01,-3%
2014-09-02,-17%
2014-09-03,-17%
2014-09-04,-11%
2014-09-05,-5%
2014-09-06,+16%
2014-09-07,+51%
2014-09-08,+13%
2014-09-09,-5%
2014-09-10,-22%
2014-09-11,-22%
2014-09-12,-14%
2014-09-13,+16%
2014-09-14,+59%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
world cup,100
football,85
espn,55
soccer,35
nfl,35
2014 world cup,25
sports,25
fifa,20
mlb,20
nba,20
news,20
fantasy football,20
fifa world cup,15
world cup schedule,15
lebron,10
wwe,10
yahoo,10
time,10
ray rice,10
lebron james,10



Rising searches
fantasy football,+3,250%
ray rice,+2,650%
college football,+400%
football,+300%
fifa,+200%
fifa world cup,+200%
world cup,+200%
us open,+160%
world cup schedule,+120%
2014 world cup,+110%



