YouTube Search interest
United States; Past 90 days

Interest over time
Day,Sports
2014-06-20,+0%
2014-06-21,+0%
2014-06-22,-1%
2014-06-23,+1%
2014-06-24,+4%
2014-06-25,+8%
2014-06-26,+6%
2014-06-27,+0%
2014-06-28,-1%
2014-06-29,-1%
2014-06-30,+3%
2014-07-01,+4%
2014-07-02,+0%
2014-07-03,-4%
2014-07-04,-3%
2014-07-05,+3%
2014-07-06,+8%
2014-07-07,+4%
2014-07-08,+5%
2014-07-09,+18%
2014-07-10,+3%
2014-07-11,+1%
2014-07-12,-1%
2014-07-13,+10%
2014-07-14,+18%
2014-07-15,+5%
2014-07-16,-1%
2014-07-17,+0%
2014-07-18,-1%
2014-07-19,-5%
2014-07-20,-6%
2014-07-21,-4%
2014-07-22,-5%
2014-07-23,-6%
2014-07-24,-8%
2014-07-25,-8%
2014-07-26,-14%
2014-07-27,-6%
2014-07-28,-6%
2014-07-29,-4%
2014-07-30,-4%
2014-07-31,-8%
2014-08-01,-10%
2014-08-02,-8%
2014-08-03,-6%
2014-08-04,-6%
2014-08-05,-4%
2014-08-06,-3%
2014-08-07,-4%
2014-08-08,-10%
2014-08-09,-8%
2014-08-10,+9%
2014-08-11,+12%
2014-08-12,-4%
2014-08-13,-8%
2014-08-14,-8%
2014-08-15,-10%
2014-08-16,-8%
2014-08-17,-5%
2014-08-18,+4%
2014-08-19,-1%
2014-08-20,-6%
2014-08-21,-9%
2014-08-22,-8%
2014-08-23,-6%
2014-08-24,-5%
2014-08-25,-8%
2014-08-26,-9%
2014-08-27,-8%
2014-08-28,-9%
2014-08-29,-9%
2014-08-30,-10%
2014-08-31,-6%
2014-09-01,-10%
2014-09-02,-5%
2014-09-03,-5%
2014-09-04,-6%
2014-09-05,-5%
2014-09-06,-8%
2014-09-07,-4%
2014-09-08,+30%
2014-09-09,+19%
2014-09-10,+0%
2014-09-11,-3%
2014-09-12,+0%
2014-09-13,-8%
2014-09-14,+1%
2014-09-15,+1%
2014-09-16,-4%
2014-09-17,-6%
2014-09-18, 
2014-09-19, 



Top searches
wwe,100
fight,70
football,65
world cup,55
nba,50
basketball,45
soccer,45
fights,40
ariana grande,35
world cup 2014,35
lebron,35
mayweather,30
ray rice,30
ufc,30
wrestling,25
john cena,25
golf,25
problem ariana grande,25
nfl,20
lebron james,20



Rising searches
ice bucket challenge,Breakout
tony stewart,Breakout
ray rice,+3,550%
wwe 2k15,+600%
nba 2k15,+350%
ronda rousey,+300%
neymar,+80%
sam smith,+80%
derrick rose,+60%
federer,+50%



