Image Search interest
United States; Past 90 days

Interest over time
Day,Travel
2014-06-19,+0%
2014-06-20,+1%
2014-06-21,+0%
2014-06-22,-2%
2014-06-23,-2%
2014-06-24,+1%
2014-06-25,-1%
2014-06-26,+1%
2014-06-27,+1%
2014-06-28,-1%
2014-06-29,+3%
2014-06-30,+0%
2014-07-01,+1%
2014-07-02,+0%
2014-07-03,+2%
2014-07-04,+0%
2014-07-05,+8%
2014-07-06,+5%
2014-07-07,+3%
2014-07-08,+1%
2014-07-09,+1%
2014-07-10,+2%
2014-07-11,-1%
2014-07-12,+0%
2014-07-13,+1%
2014-07-14,+0%
2014-07-15,-1%
2014-07-16,-2%
2014-07-17,+12%
2014-07-18,+16%
2014-07-19,+8%
2014-07-20,+9%
2014-07-21,+7%
2014-07-22,+3%
2014-07-23,+6%
2014-07-24,+1%
2014-07-25,+1%
2014-07-26,+2%
2014-07-27,+3%
2014-07-28,+0%
2014-07-29,-2%
2014-07-30,-2%
2014-07-31,+2%
2014-08-01,+1%
2014-08-02,+0%
2014-08-03,-1%
2014-08-04,-1%
2014-08-05,-1%
2014-08-06,-1%
2014-08-07,-5%
2014-08-08,-3%
2014-08-09,-2%
2014-08-10,-2%
2014-08-11,-5%
2014-08-12,-10%
2014-08-13,-8%
2014-08-14,-8%
2014-08-15,-6%
2014-08-16,-6%
2014-08-17,-6%
2014-08-18,+0%
2014-08-19,-8%
2014-08-20,-10%
2014-08-21,-8%
2014-08-22,-12%
2014-08-23,-7%
2014-08-24,-7%
2014-08-25,-10%
2014-08-26,-8%
2014-08-27,-5%
2014-08-28,-6%
2014-08-29,-6%
2014-08-30,-9%
2014-08-31,-5%
2014-09-01,-15%
2014-09-02,-15%
2014-09-03,-17%
2014-09-04,-13%
2014-09-05,-12%
2014-09-06,-16%
2014-09-07,-15%
2014-09-08,-9%
2014-09-09,-10%
2014-09-10,-12%
2014-09-11,-13%
2014-09-12,-14%
2014-09-13,-16%
2014-09-14,-22%
2014-09-15,-14%
2014-09-16,-12%
2014-09-17, 
2014-09-18, 



Top searches
beach,100
vegas,35
las vegas,30
island,30
backpack,25
beaches,15
airport,15
mountain,15
six flags,15
bus,15
castle,15
california,15
hawaii,15
airplane,15
train,15
disney world,15
disneyland,15
cruise,15
mexico,15
hotels,15



Rising searches
mh17,Breakout
jansport backpacks,+450%
backpacks,+250%
backpack,+110%
dorney park,+110%
ocean city md,+90%
brasil,+60%
ghost town,+60%
hershey park,+60%
laguna beach,+50%



