Web Search interest
United States; 2004

Interest over time
Week,Finance
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-1%
2004-01-18 - 2004-01-24,+1%
2004-01-25 - 2004-01-31,+1%
2004-02-01 - 2004-02-07,+1%
2004-02-08 - 2004-02-14,+1%
2004-02-15 - 2004-02-21,-1%
2004-02-22 - 2004-02-28,-1%
2004-02-29 - 2004-03-06,+2%
2004-03-07 - 2004-03-13,+0%
2004-03-14 - 2004-03-20,-5%
2004-03-21 - 2004-03-27,-7%
2004-03-28 - 2004-04-03,-1%
2004-04-04 - 2004-04-10,+2%
2004-04-11 - 2004-04-17,+15%
2004-04-18 - 2004-04-24,-11%
2004-04-25 - 2004-05-01,-10%
2004-05-02 - 2004-05-08,-10%
2004-05-09 - 2004-05-15,-10%
2004-05-16 - 2004-05-22,-13%
2004-05-23 - 2004-05-29,-11%
2004-05-30 - 2004-06-05,-11%
2004-06-06 - 2004-06-12,-10%
2004-06-13 - 2004-06-19,-7%
2004-06-20 - 2004-06-26,-6%
2004-06-27 - 2004-07-03,-5%
2004-07-04 - 2004-07-10,-8%
2004-07-11 - 2004-07-17,-5%
2004-07-18 - 2004-07-24,-7%
2004-07-25 - 2004-07-31,-6%
2004-08-01 - 2004-08-07,-3%
2004-08-08 - 2004-08-14,-6%
2004-08-15 - 2004-08-21,-5%
2004-08-22 - 2004-08-28,-9%
2004-08-29 - 2004-09-04,-11%
2004-09-05 - 2004-09-11,-15%
2004-09-12 - 2004-09-18,-14%
2004-09-19 - 2004-09-25,-13%
2004-09-26 - 2004-10-02,-10%
2004-10-03 - 2004-10-09,-14%
2004-10-10 - 2004-10-16,-14%
2004-10-17 - 2004-10-23,-13%
2004-10-24 - 2004-10-30,-7%
2004-10-31 - 2004-11-06,-14%
2004-11-07 - 2004-11-13,-17%
2004-11-14 - 2004-11-20,-11%
2004-11-21 - 2004-11-27,-21%
2004-11-28 - 2004-12-04,-7%
2004-12-05 - 2004-12-11,-13%
2004-12-12 - 2004-12-18,-9%
2004-12-19 - 2004-12-25,-18%
2004-12-26 - 2005-01-01,-3%



Top searches
insurance,100
mortgage,60
currency,30
loans,30
bank america,25
bank of america,25
irs,25
credit card,20
american express,15
money,15
wells fargo,15
chase,15
fafsa,15
mortgage calculator,15
health insurance,10
credit report,10
blue cross,10
washington mutual,10
exchange rate,10
credit cards,10



Rising searches
ashlee simpson snl,Breakout
oil prices,+250%
progressive insurance,+50%
usaa insurance,+50%
auto loan calculator,+40%
capitalone,+40%
countrywide home loans,+40%
insurance quotes,+40%
lending tree,+40%
prime rate,+40%



