Web Search interest
United States; 2006

Interest over time
Week,Arts & Entertainment
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,-4%
2006-01-15 - 2006-01-21,+1%
2006-01-22 - 2006-01-28,-2%
2006-01-29 - 2006-02-04,-2%
2006-02-05 - 2006-02-11,+0%
2006-02-12 - 2006-02-18,-3%
2006-02-19 - 2006-02-25,-3%
2006-02-26 - 2006-03-04,+0%
2006-03-05 - 2006-03-11,+0%
2006-03-12 - 2006-03-18,-4%
2006-03-19 - 2006-03-25,-3%
2006-03-26 - 2006-04-01,-4%
2006-04-02 - 2006-04-08,-5%
2006-04-09 - 2006-04-15,-4%
2006-04-16 - 2006-04-22,-4%
2006-04-23 - 2006-04-29,-3%
2006-04-30 - 2006-05-06,-1%
2006-05-07 - 2006-05-13,-1%
2006-05-14 - 2006-05-20,-1%
2006-05-21 - 2006-05-27,+0%
2006-05-28 - 2006-06-03,-1%
2006-06-04 - 2006-06-10,-2%
2006-06-11 - 2006-06-17,-1%
2006-06-18 - 2006-06-24,-2%
2006-06-25 - 2006-07-01,+0%
2006-07-02 - 2006-07-08,+3%
2006-07-09 - 2006-07-15,-1%
2006-07-16 - 2006-07-22,-3%
2006-07-23 - 2006-07-29,-3%
2006-07-30 - 2006-08-05,-2%
2006-08-06 - 2006-08-12,-1%
2006-08-13 - 2006-08-19,-1%
2006-08-20 - 2006-08-26,-3%
2006-08-27 - 2006-09-02,-5%
2006-09-03 - 2006-09-09,-5%
2006-09-10 - 2006-09-16,-4%
2006-09-17 - 2006-09-23,-2%
2006-09-24 - 2006-09-30,-3%
2006-10-01 - 2006-10-07,-5%
2006-10-08 - 2006-10-14,-4%
2006-10-15 - 2006-10-21,-2%
2006-10-22 - 2006-10-28,-3%
2006-10-29 - 2006-11-04,+0%
2006-11-05 - 2006-11-11,+0%
2006-11-12 - 2006-11-18,-1%
2006-11-19 - 2006-11-25,+4%
2006-11-26 - 2006-12-02,-1%
2006-12-03 - 2006-12-09,+2%
2006-12-10 - 2006-12-16,-1%
2006-12-17 - 2006-12-23,+2%
2006-12-24 - 2006-12-30,+5%
2006-12-31 - 2007-01-06,+1%



Top searches
lyrics,100
music,35
video,20
movies,15
games,15
tabs,10
youtube,10
disney,10
myspace,10
funny,5
song lyrics,5
jokes,5
wow,5
imdb,5
runescape,5
free games,5
yahoo,5
you tube,5
lost,5
free music,5



Rising searches
you tube,Breakout
youtube,Breakout
myspace,+350%
wikipedia,+300%
disney channel,+100%
naruto,+90%
britney spears,+70%
google,+70%
imdb,+60%
superman,+60%



