Web Search interest
United States; 2006

Interest over time
Week,Sports
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,-8%
2006-01-15 - 2006-01-21,-7%
2006-01-22 - 2006-01-28,-6%
2006-01-29 - 2006-02-04,-2%
2006-02-05 - 2006-02-11,+3%
2006-02-12 - 2006-02-18,+10%
2006-02-19 - 2006-02-25,+10%
2006-02-26 - 2006-03-04,-8%
2006-03-05 - 2006-03-11,-2%
2006-03-12 - 2006-03-18,+11%
2006-03-19 - 2006-03-25,-6%
2006-03-26 - 2006-04-01,-8%
2006-04-02 - 2006-04-08,-2%
2006-04-09 - 2006-04-15,-10%
2006-04-16 - 2006-04-22,-9%
2006-04-23 - 2006-04-29,-6%
2006-04-30 - 2006-05-06,-1%
2006-05-07 - 2006-05-13,-9%
2006-05-14 - 2006-05-20,-11%
2006-05-21 - 2006-05-27,-8%
2006-05-28 - 2006-06-03,-2%
2006-06-04 - 2006-06-10,+5%
2006-06-11 - 2006-06-17,+14%
2006-06-18 - 2006-06-24,+9%
2006-06-25 - 2006-07-01,+8%
2006-07-02 - 2006-07-08,+3%
2006-07-09 - 2006-07-15,+0%
2006-07-16 - 2006-07-22,-7%
2006-07-23 - 2006-07-29,-9%
2006-07-30 - 2006-08-05,-11%
2006-08-06 - 2006-08-12,-9%
2006-08-13 - 2006-08-19,-6%
2006-08-20 - 2006-08-26,+0%
2006-08-27 - 2006-09-02,+2%
2006-09-03 - 2006-09-09,+6%
2006-09-10 - 2006-09-16,+2%
2006-09-17 - 2006-09-23,+0%
2006-09-24 - 2006-09-30,-1%
2006-10-01 - 2006-10-07,+0%
2006-10-08 - 2006-10-14,-2%
2006-10-15 - 2006-10-21,-2%
2006-10-22 - 2006-10-28,-5%
2006-10-29 - 2006-11-04,-6%
2006-11-05 - 2006-11-11,-7%
2006-11-12 - 2006-11-18,-3%
2006-11-19 - 2006-11-25,+0%
2006-11-26 - 2006-12-02,-7%
2006-12-03 - 2006-12-09,-6%
2006-12-10 - 2006-12-16,-8%
2006-12-17 - 2006-12-23,-10%
2006-12-24 - 2006-12-30,-10%
2006-12-31 - 2007-01-06,+1%



Top searches
football,100
golf,70
sports,50
nfl,50
baseball,50
basketball,50
espn,45
soccer,40
world cup,30
tickets,25
ncaa,25
nba,20
tennis,15
wwe,15
wrestling,15
mlb,15
olympics,15
nascar,15
college football,10
time,10



Rising searches
fifa world cup,+600%
world cup,+550%
world cup soccer,+350%
2006 world cup,+300%
fifa,+300%
olympics,+150%
ufc,+120%
bcs,+60%
fights,+50%
mets,+50%



