Web Search interest
United States; 2007

Interest over time
Week,Food & Drink
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,+0%
2007-01-21 - 2007-01-27,+0%
2007-01-28 - 2007-02-03,+4%
2007-02-04 - 2007-02-10,+1%
2007-02-11 - 2007-02-17,+8%
2007-02-18 - 2007-02-24,-1%
2007-02-25 - 2007-03-03,-7%
2007-03-04 - 2007-03-10,-6%
2007-03-11 - 2007-03-17,-4%
2007-03-18 - 2007-03-24,-3%
2007-03-25 - 2007-03-31,-3%
2007-04-01 - 2007-04-07,+4%
2007-04-08 - 2007-04-14,-4%
2007-04-15 - 2007-04-21,-4%
2007-04-22 - 2007-04-28,-6%
2007-04-29 - 2007-05-05,-4%
2007-05-06 - 2007-05-12,-1%
2007-05-13 - 2007-05-19,-6%
2007-05-20 - 2007-05-26,-6%
2007-05-27 - 2007-06-02,-1%
2007-06-03 - 2007-06-09,-4%
2007-06-10 - 2007-06-16,-1%
2007-06-17 - 2007-06-23,-1%
2007-06-24 - 2007-06-30,-3%
2007-07-01 - 2007-07-07,+4%
2007-07-08 - 2007-07-14,+3%
2007-07-15 - 2007-07-21,+6%
2007-07-22 - 2007-07-28,+0%
2007-07-29 - 2007-08-04,+3%
2007-08-05 - 2007-08-11,+0%
2007-08-12 - 2007-08-18,-1%
2007-08-19 - 2007-08-25,-4%
2007-08-26 - 2007-09-01,-4%
2007-09-02 - 2007-09-08,-1%
2007-09-09 - 2007-09-15,-3%
2007-09-16 - 2007-09-22,-4%
2007-09-23 - 2007-09-29,-1%
2007-09-30 - 2007-10-06,-3%
2007-10-07 - 2007-10-13,+3%
2007-10-14 - 2007-10-20,+1%
2007-10-21 - 2007-10-27,+3%
2007-10-28 - 2007-11-03,+4%
2007-11-04 - 2007-11-10,+3%
2007-11-11 - 2007-11-17,+13%
2007-11-18 - 2007-11-24,+39%
2007-11-25 - 2007-12-01,+0%
2007-12-02 - 2007-12-08,+7%
2007-12-09 - 2007-12-15,+13%
2007-12-16 - 2007-12-22,+26%
2007-12-23 - 2007-12-29,+28%
2007-12-30 - 2008-01-05,+15%



Top searches
recipe,100
recipes,80
restaurant,60
food,50
pizza,45
chicken,35
restaurants,30
wine,20
chocolate,20
coffee,15
beer,15
food network,15
pizza hut,10
tea,10
cookies,10
candy,10
sushi,10
starbucks,10
potato,10
papa johns,10



Rising searches
yelp,+300%
monavie,+250%
my coke rewards,+180%
coke rewards,+170%
best buy.com,+120%
top chef,+80%
food network.com,+60%
com,+40%
jimmy johns,+40%
m&m,+40%



