Web Search interest
United States; 2009

Interest over time
Week,Autos & Vehicles
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+0%
2009-01-18 - 2009-01-24,-2%
2009-01-25 - 2009-01-31,-6%
2009-02-01 - 2009-02-07,-2%
2009-02-08 - 2009-02-14,-2%
2009-02-15 - 2009-02-21,+0%
2009-02-22 - 2009-02-28,-2%
2009-03-01 - 2009-03-07,-2%
2009-03-08 - 2009-03-14,+1%
2009-03-15 - 2009-03-21,-2%
2009-03-22 - 2009-03-28,+5%
2009-03-29 - 2009-04-04,+4%
2009-04-05 - 2009-04-11,+6%
2009-04-12 - 2009-04-18,+4%
2009-04-19 - 2009-04-25,+5%
2009-04-26 - 2009-05-02,+4%
2009-05-03 - 2009-05-09,+4%
2009-05-10 - 2009-05-16,+7%
2009-05-17 - 2009-05-23,+7%
2009-05-24 - 2009-05-30,+12%
2009-05-31 - 2009-06-06,+11%
2009-06-07 - 2009-06-13,+12%
2009-06-14 - 2009-06-20,+8%
2009-06-21 - 2009-06-27,+7%
2009-06-28 - 2009-07-04,+9%
2009-07-05 - 2009-07-11,+8%
2009-07-12 - 2009-07-18,+13%
2009-07-19 - 2009-07-25,+15%
2009-07-26 - 2009-08-01,+18%
2009-08-02 - 2009-08-08,+15%
2009-08-09 - 2009-08-15,+13%
2009-08-16 - 2009-08-22,+11%
2009-08-23 - 2009-08-29,+6%
2009-08-30 - 2009-09-05,+4%
2009-09-06 - 2009-09-12,-1%
2009-09-13 - 2009-09-19,-1%
2009-09-20 - 2009-09-26,+0%
2009-09-27 - 2009-10-03,-2%
2009-10-04 - 2009-10-10,-6%
2009-10-11 - 2009-10-17,-7%
2009-10-18 - 2009-10-24,-6%
2009-10-25 - 2009-10-31,-9%
2009-11-01 - 2009-11-07,-8%
2009-11-08 - 2009-11-14,-9%
2009-11-15 - 2009-11-21,-9%
2009-11-22 - 2009-11-28,-11%
2009-11-29 - 2009-12-05,-12%
2009-12-06 - 2009-12-12,-12%
2009-12-13 - 2009-12-19,-12%
2009-12-20 - 2009-12-26,-11%
2009-12-27 - 2010-01-02,-4%



Top searches
car,100
ford,80
honda,80
cars,65
toyota,60
chevy,40
nissan,40
dodge,40
dmv,35
tires,35
bmw,35
blue book,30
ebay,30
jeep,25
craigslist,25
chevrolet,25
auto parts,25
mercedes,20
mustang,20
audi,20



Rising searches
cash for clunkers,Breakout
calendar 2010,+1,700%
2010 camaro,+350%
detran,+100%
fiat,+70%
craigslist,+60%
camaro,+50%
ebay motors,+50%
advance auto parts,+40%
cars for sale,+40%



