Web Search interest
United States; 2009

Interest over time
Week,Real Estate
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+1%
2009-01-18 - 2009-01-24,-3%
2009-01-25 - 2009-01-31,-5%
2009-02-01 - 2009-02-07,-4%
2009-02-08 - 2009-02-14,-9%
2009-02-15 - 2009-02-21,-2%
2009-02-22 - 2009-02-28,+2%
2009-03-01 - 2009-03-07,-1%
2009-03-08 - 2009-03-14,-2%
2009-03-15 - 2009-03-21,-2%
2009-03-22 - 2009-03-28,+1%
2009-03-29 - 2009-04-04,+4%
2009-04-05 - 2009-04-11,+1%
2009-04-12 - 2009-04-18,-2%
2009-04-19 - 2009-04-25,-1%
2009-04-26 - 2009-05-02,-3%
2009-05-03 - 2009-05-09,+0%
2009-05-10 - 2009-05-16,+1%
2009-05-17 - 2009-05-23,-2%
2009-05-24 - 2009-05-30,+4%
2009-05-31 - 2009-06-06,+0%
2009-06-07 - 2009-06-13,+1%
2009-06-14 - 2009-06-20,+2%
2009-06-21 - 2009-06-27,+4%
2009-06-28 - 2009-07-04,-1%
2009-07-05 - 2009-07-11,+3%
2009-07-12 - 2009-07-18,+4%
2009-07-19 - 2009-07-25,+6%
2009-07-26 - 2009-08-01,+4%
2009-08-02 - 2009-08-08,+2%
2009-08-09 - 2009-08-15,+1%
2009-08-16 - 2009-08-22,-3%
2009-08-23 - 2009-08-29,-3%
2009-08-30 - 2009-09-05,-6%
2009-09-06 - 2009-09-12,-12%
2009-09-13 - 2009-09-19,-16%
2009-09-20 - 2009-09-26,-13%
2009-09-27 - 2009-10-03,-13%
2009-10-04 - 2009-10-10,-17%
2009-10-11 - 2009-10-17,-19%
2009-10-18 - 2009-10-24,-15%
2009-10-25 - 2009-10-31,-18%
2009-11-01 - 2009-11-07,-18%
2009-11-08 - 2009-11-14,-19%
2009-11-15 - 2009-11-21,-22%
2009-11-22 - 2009-11-28,-29%
2009-11-29 - 2009-12-05,-27%
2009-12-06 - 2009-12-12,-29%
2009-12-13 - 2009-12-19,-28%
2009-12-20 - 2009-12-26,-30%
2009-12-27 - 2010-01-02,-13%



Top searches
real,100
real estate,95
homes,85
apartments,75
rent,75
for rent,55
realty,45
house,45
rentals,45
florida,40
houses,40
homes for sale,35
home,35
apartment,20
housing,20
mls,20
apartments for rent,15
houses for sale,15
remax,15
houses for rent,15



Rising searches
remax.com,+130%
redfin,+110%
real estate listings,+80%
foreclosed homes,+70%
24,+50%
casa,+50%
realtor.com,+50%
short sale,+50%
trulia,+50%
apartments for rent,+40%



