Image Search interest
United States; 2010

Interest over time
Week,Arts & Entertainment
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+1%
2010-01-17 - 2010-01-23,-1%
2010-01-24 - 2010-01-30,-1%
2010-01-31 - 2010-02-06,+7%
2010-02-07 - 2010-02-13,-4%
2010-02-14 - 2010-02-20,-4%
2010-02-21 - 2010-02-27,-8%
2010-02-28 - 2010-03-06,-7%
2010-03-07 - 2010-03-13,-4%
2010-03-14 - 2010-03-20,-8%
2010-03-21 - 2010-03-27,-5%
2010-03-28 - 2010-04-03,-2%
2010-04-04 - 2010-04-10,-4%
2010-04-11 - 2010-04-17,-7%
2010-04-18 - 2010-04-24,-9%
2010-04-25 - 2010-05-01,-9%
2010-05-02 - 2010-05-08,-9%
2010-05-09 - 2010-05-15,-10%
2010-05-16 - 2010-05-22,-8%
2010-05-23 - 2010-05-29,-7%
2010-05-30 - 2010-06-05,-7%
2010-06-06 - 2010-06-12,-7%
2010-06-13 - 2010-06-19,-5%
2010-06-20 - 2010-06-26,-1%
2010-06-27 - 2010-07-03,+2%
2010-07-04 - 2010-07-10,-1%
2010-07-11 - 2010-07-17,-3%
2010-07-18 - 2010-07-24,-2%
2010-07-25 - 2010-07-31,+1%
2010-08-01 - 2010-08-07,-2%
2010-08-08 - 2010-08-14,-2%
2010-08-15 - 2010-08-21,-4%
2010-08-22 - 2010-08-28,-5%
2010-08-29 - 2010-09-04,-5%
2010-09-05 - 2010-09-11,-8%
2010-09-12 - 2010-09-18,-7%
2010-09-19 - 2010-09-25,-10%
2010-09-26 - 2010-10-02,-10%
2010-10-03 - 2010-10-09,-10%
2010-10-10 - 2010-10-16,-7%
2010-10-17 - 2010-10-23,-3%
2010-10-24 - 2010-10-30,-1%
2010-10-31 - 2010-11-06,-5%
2010-11-07 - 2010-11-13,-5%
2010-11-14 - 2010-11-20,-5%
2010-11-21 - 2010-11-27,+1%
2010-11-28 - 2010-12-04,+9%
2010-12-05 - 2010-12-11,+3%
2010-12-12 - 2010-12-18,-5%
2010-12-19 - 2010-12-25,-1%
2010-12-26 - 2011-01-01,+5%



Top searches
pictures,100
funny,55
miley cyrus,40
art,40
lady gaga,35
love,35
nicki minaj,30
anime,30
selena gomez,25
music,25
megan fox,25
naruto,20
lil wayne,20
disney,20
taylor lautner,20
justin bieber,15
guitar,15
funny pictures,15
katy perry,15
taylor swift,15



Rising searches
justin bieber,+500%
nicki minaj,+450%
glee,+400%
katy perry,+170%
trey songz,+160%
avatar,+100%
iron man,+90%
scarlett johansson,+70%
eminem,+60%
dragon ball z,+50%



