Web Search interest
United States; 2010

Interest over time
Week,Business & Industrial
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+2%
2010-01-17 - 2010-01-23,+4%
2010-01-24 - 2010-01-30,+0%
2010-01-31 - 2010-02-06,+10%
2010-02-07 - 2010-02-13,+1%
2010-02-14 - 2010-02-20,+0%
2010-02-21 - 2010-02-27,+2%
2010-02-28 - 2010-03-06,+3%
2010-03-07 - 2010-03-13,+9%
2010-03-14 - 2010-03-20,+4%
2010-03-21 - 2010-03-27,+4%
2010-03-28 - 2010-04-03,+4%
2010-04-04 - 2010-04-10,+4%
2010-04-11 - 2010-04-17,+8%
2010-04-18 - 2010-04-24,+5%
2010-04-25 - 2010-05-01,+9%
2010-05-02 - 2010-05-08,+5%
2010-05-09 - 2010-05-15,+5%
2010-05-16 - 2010-05-22,+4%
2010-05-23 - 2010-05-29,+8%
2010-05-30 - 2010-06-05,+3%
2010-06-06 - 2010-06-12,+3%
2010-06-13 - 2010-06-19,+3%
2010-06-20 - 2010-06-26,+2%
2010-06-27 - 2010-07-03,+3%
2010-07-04 - 2010-07-10,-2%
2010-07-11 - 2010-07-17,-1%
2010-07-18 - 2010-07-24,+1%
2010-07-25 - 2010-07-31,+2%
2010-08-01 - 2010-08-07,-2%
2010-08-08 - 2010-08-14,-1%
2010-08-15 - 2010-08-21,-2%
2010-08-22 - 2010-08-28,-3%
2010-08-29 - 2010-09-04,-2%
2010-09-05 - 2010-09-11,-4%
2010-09-12 - 2010-09-18,-1%
2010-09-19 - 2010-09-25,+0%
2010-09-26 - 2010-10-02,+3%
2010-10-03 - 2010-10-09,+1%
2010-10-10 - 2010-10-16,+1%
2010-10-17 - 2010-10-23,-2%
2010-10-24 - 2010-10-30,-1%
2010-10-31 - 2010-11-06,-3%
2010-11-07 - 2010-11-13,+3%
2010-11-14 - 2010-11-20,+2%
2010-11-21 - 2010-11-27,-11%
2010-11-28 - 2010-12-04,-2%
2010-12-05 - 2010-12-11,-2%
2010-12-12 - 2010-12-18,-5%
2010-12-19 - 2010-12-25,-15%
2010-12-26 - 2011-01-01,-15%



Top searches
ups,100
usps,80
fedex,70
oil,50
paypal,40
ups tracking,35
staples,35
post office,30
office depot,25
fedex tracking,25
space,25
concrete,20
fb,20
puerto rico,20
oracle,20
metro,20
usps tracking,20
yahoo finance,15
fa,15
sign,15



Rising searches
bp oil spill,Breakout
kik,+1,600%
fb,+700%
bp,+300%
mercado libre venezuela,+200%
fa,+180%
u haul,+70%
vistaprint,+70%
flyers,+40%



